ticker,buy_date,buy_price,sell_date,sell_price,days_held,pnl,status
SRF,2020-07-21,745.8951152228011,2020-08-04,746.9239631018704,14,66.87511213950472,closed
RELAXO,2020-01-10,635.1,2020-08-18,646.35,221,1001.25,closed
AUROPHARMA,2020-08-04,836.2625969418405,2020-08-18,844.0048730389759,14,472.278841925263,closed
NATCOPHARM,2020-08-04,753.9482449771965,2020-08-18,780.0837107902337,14,1751.0762094734905,closed
SYNGENE,2020-08-04,465.57891000100705,2020-09-01,468.6540024075333,28,335.18507231136306,closed
HAL,2020-07-07,438.02953529413315,2020-09-15,376.5520978371585,70,-6762.518120267212,closed
ALKEM,2020-03-06,2481.704431812613,2020-09-15,2707.374341316002,193,4964.738009074551,closed
POLYCAB,2020-08-18,885.7174469464513,2020-09-15,887.8453858345224,28,125.5483943961932,closed
TATACOMM,2020-08-04,803.7533726573878,2020-09-29,819.62233709678,56,999.7447596817113,closed
TRENT,2020-09-15,495.5153459599266,2020-09-29,439.0629725216893,14,-6153.308704767867,closed
PIIND,2019-05-03,1042.5175274908422,2020-10-14,2010.3429273813388,530,48391.26999452483,closed
ATUL,2020-09-01,5924.565683252979,2020-10-28,6114.410288445205,57,1518.7568415378046,closed
IPCALAB,2019-10-15,432.28888851809666,2020-10-28,1149.2399356036547,379,86034.12565026696,closed
APLLTD,2020-04-08,640.85,2020-10-28,963.2,203,20952.75,closed
COROMANDEL,2020-04-24,528.8735494331941,2020-10-28,691.090666235374,187,13464.020694580935,closed
JUBLFOOD,2020-05-11,310.7416823134189,2020-11-11,460.8805320367395,184,21619.99436015817,closed
JINDALSTEL,2020-08-18,221.76584744579654,2020-11-11,216.09597806912544,85,-1349.428911647722,closed
PFIZER,2020-08-18,4409.438813175431,2020-11-11,5017.078521008518,85,6684.036786163952,closed
MFSL,2020-10-28,585.05,2020-11-11,612.9,14,2534.350000000002,closed
GMRAIRPORT,2020-10-28,23.65,2020-11-11,24.5,14,1931.2000000000032,closed
ARE&M,2020-10-28,714.5709673221501,2020-11-11,791.412736669477,14,5763.13270104952,closed
MOTHERSON,2020-10-28,20.802674970322055,2020-11-25,27.918916027062195,28,18381.25064955978,closed
CHOLAFIN,2020-10-28,240.55196090133273,2020-11-25,348.9363182077503,28,24169.71167933111,closed
PVRINOX,2020-10-28,1083.9,2020-11-25,1307.35,28,10949.049999999992,closed
BAYERCROP,2020-06-09,4721.861676817039,2020-12-10,4663.280400797387,184,-527.2314841768621,closed
ATUL,2020-11-11,6249.785972032318,2020-12-10,6109.680354667796,29,-1260.950556280698,closed
COROMANDEL,2020-11-11,683.7041641483181,2020-12-24,764.4791385841862,43,6865.872827048789,closed
HATSUN,2020-11-25,911.65,2021-01-08,728.15,44,-12111.0,closed
PIIND,2020-11-11,2256.3704685211915,2021-01-08,2308.012576695495,58,1291.052704357594,closed
IRCTC,2020-11-25,260.0538425726292,2021-01-08,282.6421665895737,44,5285.667819965016,closed
