ticker,buy_date,buy_price,sell_date,sell_price,days_held,pnl,trade_cagr,return_zscore,status
HEROMOTOCO,2020-08-19,2508.925589652719,2020-10-22,2635.909447338045,64,3174.5964421331564,0.32548308749124555,0.14551161047147892,closed
UPL,2020-09-09,472.07827877193967,2020-10-22,433.8480996903176,43,-5390.4552505087095,-0.5119497652938325,-0.48355489986690603,closed
CIPLA,2020-09-23,737.8041450205229,2020-10-22,728.2859523756139,29,-828.0827601070873,-0.1508668789344242,-0.15810233297662973,closed
LUPIN,2020-09-23,982.6954099107667,2020-10-29,893.952663730246,36,-5768.278501733847,-0.6172091390294414,-0.5281203818126313,closed
TORNTPHARM,2020-09-30,1312.3548317889326,2020-10-29,1180.9295224678317,29,-6702.690775376148,-0.7352639260526572,-0.5751547331158754,closed
HINDZINC,2020-10-22,141.8639245257642,2020-10-29,133.61818046441647,7,-3850.762476649386,-0.9560435776217583,-0.3742848793188224,closed
HINDALCO,2020-10-22,182.15691002425788,2020-11-05,185.0208571051489,14,1042.4767374443325,0.5022973412534029,-0.021275163637918208,closed
GODREJPROP,2020-10-22,1041.1672888204735,2020-11-05,907.7621319992303,14,-8404.52487973832,-0.9720473240390779,-0.7089349832301024,closed
TATACONSUM,2020-08-12,505.90025587694555,2020-11-05,495.050110306017,85,-1367.118341936995,-0.08895459443747555,-0.19895718266190118,closed
DRREDDY,2020-09-23,1008.7150730346008,2020-11-05,979.2401134828581,43,-1856.92245175979,-0.22267845876194137,-0.23611494581777737,closed
DIVISLAB,2020-08-26,3088.2796928912285,2020-11-12,3252.750294028219,78,3453.8826238767974,0.27502955683214636,0.1581485212440792,closed
IDFCFIRSTB,2020-10-08,31.39723345948062,2020-11-12,32.842502936186875,35,3104.4388359650347,0.599427755973009,0.12361258153608165,closed
KANSAINER,2020-10-22,327.5626864640662,2020-11-12,331.11572509418386,21,717.7138032837692,0.20640237214880397,-0.044581628355948574,closed
CIPLA,2020-11-05,762.8975619934648,2020-11-12,711.1724342867876,7,-4655.261493600948,-0.9743547534564714,-0.4205417728417354,closed
ZEEL,2020-09-30,202.967693509143,2020-11-19,181.05806455447006,50,-7317.816070860762,-0.5658838510878363,-0.6124494092763019,closed
PIDILITIND,2020-10-29,772.6618113550207,2020-11-19,756.9011326119146,21,-1339.6576931640232,-0.3012387119477288,-0.19394119885416086,closed
HEROMOTOCO,2020-11-05,2518.5915889241514,2020-11-19,2556.3574179359885,14,1019.6773833195994,0.4744722581841616,-0.024753299086632694,closed
IGL,2020-11-12,202.49210013035133,2020-11-19,204.31697760129563,7,644.1817472433384,0.5970079157318344,-0.05335254843354489,closed
KANSAINER,2020-11-19,351.08675212835175,2020-11-26,338.69430701431594,7,-2651.983254403663,-0.8466538914803117,-0.26516524794124685,closed
BAJAJHLDNG,2020-11-19,2658.1288061084388,2020-11-26,2775.1608939818066,7,3276.8984604542984,8.470502021810182,0.1140340571724658,closed
HINDZINC,2020-11-19,146.35927835711144,2020-11-26,144.399109450543,7,-1009.4869868827471,-0.505170469557134,-0.16045497524564378,closed
ABFRL,2020-10-15,132.2,2020-12-04,159.75,50,13582.150000000005,2.986022559512537,0.8997645342545043,closed
COLPAL,2020-11-19,1353.0305240777209,2020-12-04,1374.4392349017355,15,1177.4790953208048,0.4656054702696555,-0.020795379959685393,closed
DRREDDY,2020-11-26,967.9537219359094,2020-12-04,969.3756295323753,8,112.33070012081282,0.06931584184819872,-0.08941088907343775,closed
HINDZINC,2020-12-04,157.5975800881039,2020-12-11,157.5975800881039,7,0.0,0.0,-0.09643307179734237,closed
TMPV,2020-07-08,61.79864207322598,2020-12-18,105.90457972830676,163,45296.79797176796,2.3435112311933683,3.3152876454627207,closed
AMBUJACEM,2020-10-08,213.66581867367196,2020-12-18,240.71682502281382,71,8521.066999979685,0.8464222138237445,0.5087736192570681,closed
SIEMENS,2020-10-29,669.7670202389905,2020-12-18,799.667528431192,50,12860.150311027941,2.650737077403973,0.8307007769497281,closed
BAJAJHLDNG,2020-12-04,2897.455963321669,2020-12-18,2845.610979226288,14,-1399.8145705752945,-0.37565353227172793,-0.18196834506273163,closed
MRF,2020-11-05,68319.9894784899,2020-12-28,75096.591524107,53,6776.60204561711,0.9188943887344281,0.37772105791477245,closed
HINDZINC,2020-12-18,157.95694438764147,2020-12-28,157.9896138694176,10,16.46541881517419,0.007582110246909357,-0.09544438469824436,closed
ADANIGREEN,2020-01-06,200.6,2021-01-04,1082.25,364,256560.15,4.426382339423813,20.913304554064766,closed
ABCAPITAL,2020-10-29,65.15,2021-01-04,89.35,67,24659.79999999999,4.595468974094402,1.6792125368624493,closed
M&MFIN,2020-11-12,138.8829335826424,2021-01-04,176.95527332807305,53,19607.25496889678,4.309915386979346,1.2140035805776612,closed
LTF,2020-11-26,73.53546527977969,2021-01-04,91.33236268784898,39,18562.16399661628,6.612783848993118,1.060485513802288,closed
ABB,2020-11-26,1061.2315339263596,2021-01-04,1244.4675279220014,39,12093.575603712361,3.4446309721332833,0.7289508178760998,closed
CANBK,2020-12-11,21.19938603700507,2021-01-11,21.817172536287057,31,2103.5630300551657,0.4027679132381634,0.04287313780833172,closed
NMDC,2020-12-18,28.673997838119664,2021-01-11,31.92057840578922,24,9012.507655850692,4.115964047957834,0.4448111617915306,closed
SAMMAANCAP,2020-12-28,181.03101356761323,2021-01-11,195.73071314357148,14,6497.267212573546,6.666253984812275,0.29172696621143107,closed
SRF,2021-01-04,1113.9507853972152,2021-01-25,1055.237777375057,21,-4344.762593639706,-0.6100622784743464,-0.3483884729175856,closed
GODREJPROP,2020-11-12,988.3227246488359,2021-01-25,1320.8155474312105,74,23939.48324033097,3.1843957417868367,1.5117624167487647,closed
HDFCAMC,2020-12-18,1318.0885346344865,2021-02-02,1371.2357802308595,46,3188.834735782384,0.3687184316992205,0.09631565815574741,closed
RBLBANK,2021-01-04,235.55216534864758,2021-02-02,238.30486177175365,29,968.9491409333377,0.15757996995824586,-0.04056977485413847,closed
YESBANK,2021-01-04,18.0,2021-02-02,16.55,29,-6690.2999999999965,-0.652775890205709,-0.48151296513083364,closed
IGL,2021-01-11,257.5618202661895,2021-02-09,257.23842425868037,29,-108.33766251555915,-0.01569952696396404,-0.10243524486801159,closed
MRF,2021-01-11,82212.19801068466,2021-02-16,89254.31881160935,36,7042.120800924691,1.30215748074435,0.31303736978767677,closed
SIEMENS,2021-02-02,949.0527717994911,2021-02-16,955.6794700988854,14,622.9096401430661,0.19905491537723052,-0.06305492792809718,closed
HAVELLS,2020-09-16,666.1982016323042,2021-02-16,1194.765297547741,153,54970.97797520544,3.0327080269128412,3.696297687853657,closed
BAJAJHLDNG,2021-01-25,3047.2662691003984,2021-02-23,3371.5397938430156,29,9079.65869279328,2.57386543993137,0.4122607154334943,closed
BOSCHLTD,2021-02-02,16017.058076723848,2021-02-23,14284.042670814912,21,-8665.077029544682,-0.8635337720906403,-0.6136527251413316,closed
UPL,2021-01-25,561.425214153708,2021-02-23,540.6635064127522,29,-3176.5412843662352,-0.3778609643003128,-0.27321037554645855,closed
