ticker,buy_date,buy_price,sell_date,sell_price,days_held,pnl,status
RIIL,2022-05-11,982.2,2022-07-08,950.05,58,-2572.0000000000073,closed
TIIL,2022-05-11,988.05,2022-07-08,987.9,58,-11.999999999998181,closed
RSWM,2022-05-11,459.8,2022-07-08,372.45,58,-15024.200000000004,closed
BSE,2021-12-07,206.4123966638488,2022-07-08,204.65748524635382,213,-670.3761614830826,closed
KDDL,2022-01-05,937.6,2022-07-08,676.9,184,-24505.800000000003,closed
NELCO,2022-03-08,607.4,2022-07-08,613.95,122,897.3500000000093,closed
SAKUMA,2022-05-11,17.2,2022-07-08,14.0,58,-14732.799999999997,closed
CHENNPETRO,2022-05-11,234.64543061937775,2022-07-08,228.83631029412265,58,-1957.6735496109668,closed
NAHARSPING,2022-06-09,374.45,2022-08-08,314.9,60,-13041.450000000003,closed
EXPLEOSOL,2022-06-09,1419.6,2022-08-08,1451.6,60,1824.0,closed
GOKEX,2021-12-07,269.55,2022-08-08,340.35,244,20673.600000000002,closed
OLECTRA,2022-01-05,809.5987067566714,2022-08-08,605.2630874641823,215,-22272.582502881316,closed
GHCL,2022-05-11,585.05,2022-08-08,610.25,89,3402.0000000000064,closed
BESTAGRO,2022-06-09,906.95,2022-08-08,969.2,60,5602.5,closed
VOLTAMP,2022-07-08,3249.15,2022-09-09,2472.25,63,-17868.7,closed
ACCURACY,2022-01-05,215.5,2022-09-09,242.85,247,11213.499999999998,closed
MGEL,2022-03-08,195.15,2022-09-09,43.8,185,-64777.80000000001,closed
STEELXIND,2022-04-07,24.715000000000007,2022-09-09,13.75,155,-43234.995000000024,closed
ZENTEC,2022-06-09,189.92382619112416,2022-09-09,215.11729407305685,92,10908.771592876856,closed
VRLLOG,2022-06-09,332.125,2022-09-09,307.375,92,-6113.25,closed
TDPOWERSYS,2022-07-08,100.32000000000001,2022-09-09,132.42000000000002,63,24684.900000000005,closed
FIEMIND,2022-08-08,835.05,2022-10-11,775.25,64,-5740.799999999996,closed
