ticker,base_date,base_price,doubled_date,doubled_price,multiple
DSSL,2023-07-04,481.6,2024-03-28,1027.8,2.13
VIMTALABS,2023-07-04,407.6,2024-11-25,868.4,2.13
BRNL,2023-07-04,31.05,2024-01-04,66.0,2.13
PENIND,2023-07-04,79.4,2024-06-07,169.3,2.13
ZENITHSTL,2023-09-11,4.1,2024-02-19,8.75,2.13
KELLTONTEC,2023-07-04,73.85,2024-08-01,157.26,2.13
WEALTH,2023-07-04,329.95,2024-04-03,702.25,2.13
DGCONTENT,2023-08-16,17.5,2024-06-26,37.22,2.13
TTL,2023-07-04,75.25,2024-11-01,160.01,2.13
PRECOT,2023-07-04,182.8,2024-06-03,390.2,2.13
JINDALPHOT,2023-07-04,350.15,2023-10-16,746.5,2.13
PREMIERPOL,2023-10-09,139.3,2024-10-14,297.15,2.13
KPIGREEN,2023-07-04,854.0,2024-01-31,1821.1,2.13
SHIVAMAUTO,2023-07-04,25.7,2024-08-01,54.63,2.13
TIRUPATIFL,2024-04-15,18.15,2025-08-11,38.61,2.13
AIROLAM,2023-07-04,89.25,2024-02-20,190.3,2.13
STARTECK,2023-07-04,162.1,2023-12-22,343.6,2.12
PSB,2023-07-04,33.0,2024-02-05,69.9,2.12
MOTILALOFS,2023-07-04,42.83,2024-01-11,90.93,2.12
NIPPOBATRY,2023-07-04,390.75,2023-12-26,829.85,2.12
VIVIDHA,2023-07-04,0.85,2024-01-10,1.8,2.12
UNITEDTEA,2023-07-04,277.0,2024-12-13,586.85,2.12
WABAG,2023-07-04,474.65,2024-04-22,1005.15,2.12
CENTUM,2023-07-04,1341.95,2025-08-20,2847.8,2.12
SOFTTECH,2023-07-04,156.35,2024-03-01,331.3,2.12
PANACHE,2023-07-04,61.45,2024-06-12,130.22,2.12
RHL,2023-07-04,97.55,2024-06-21,206.7,2.12
AEGISCHEM,2023-07-04,328.25,2024-04-29,696.15,2.12
PURVA,2023-07-04,94.1,2023-12-11,199.15,2.12
BALMLAWRIE,2023-07-04,134.0,2024-01-30,284.3,2.12
BDL,2023-07-04,269.86,2024-05-17,573.25,2.12
AGRITECH,2023-07-04,102.85,2023-11-20,217.95,2.12
MMTC,2023-07-04,31.9,2023-09-06,67.5,2.12
LAGNAM,2023-07-04,56.9,2024-02-06,120.9,2.12
SHREEPUSHK,2023-07-04,188.35,2025-07-29,398.95,2.12
BRIGADE,2023-07-04,313.77,2024-05-17,664.22,2.12
KANPRPLA,2023-07-04,101.25,2025-05-19,214.28,2.12
CREST,2023-07-04,229.1,2024-02-02,486.2,2.12
FCSSOFT,2023-07-04,2.15,2023-12-11,4.55,2.12
GENESYS,2023-07-04,299.4,2024-03-04,633.25,2.12
SWANENERGY,2023-07-04,264.45,2024-01-05,560.25,2.12
LPDC,2023-07-04,6.55,2024-07-05,13.86,2.12
WEBELSOLAR,2023-07-04,85.9,2023-10-11,182.45,2.12
BPL,2023-07-04,60.45,2024-06-21,127.54,2.11
BIKAJI,2023-07-04,406.73,2024-08-12,859.68,2.11
GABRIEL,2023-07-04,188.11,2023-11-15,396.22,2.11
FOSECOIND,2023-07-04,2605.45,2025-07-30,5486.9,2.11
IMAGICAA,2023-07-04,44.95,2024-08-09,94.84,2.11
HYBRIDFIN,2024-04-23,8.9,2025-06-09,18.79,2.11
SPAL,2023-07-04,448.05,2024-08-06,944.25,2.11
PKTEA,2024-03-11,383.8,2025-04-01,811.7,2.11
INTERARCH,2024-08-26,1195.7,2025-11-07,2520.7,2.11
AEROFLEX,2023-08-31,163.25,2026-05-06,344.7,2.11
SIYSIL,2023-07-04,538.35,2024-12-16,1134.5,2.11
BALAJITELE,2023-07-04,42.8,2024-01-08,90.45,2.11
WELINV,2023-10-09,562.0,2025-06-05,1186.4,2.11
APEX,2023-07-04,210.65,2026-02-12,443.6,2.11
SUNTV,2023-07-04,387.0,2024-08-01,816.87,2.11
MTNL,2023-07-04,19.8,2024-01-24,41.75,2.11
UMAEXPORTS,2023-09-25,50.5,2024-08-20,106.51,2.11
ASHAPURMIN,2023-07-04,124.4,2023-09-05,262.4,2.11
JCHAC,2023-07-04,1033.8,2024-09-03,2171.95,2.1
NBIFIN,2023-07-04,1491.95,2024-11-28,3132.4,2.1
MAHSCOOTER,2023-07-04,5590.53,2024-09-18,11751.45,2.1
VIDYAWIRES,2025-12-10,53.17,2026-05-27,111.77,2.1
ARROWGREEN,2023-10-03,373.45,2024-08-02,786.1,2.1
SETL,2026-01-19,134.76,2026-07-01,282.45,2.1
HGINFRA,2023-07-04,862.75,2024-06-11,1813.05,2.1
OSWALGREEN,2023-07-04,22.75,2024-08-07,47.8,2.1
CCHHL,2023-07-04,7.15,2023-12-06,15.05,2.1
MINDTECK,2023-09-25,145.1,2024-04-15,305.2,2.1
GFLLIMITED,2023-07-04,56.95,2024-10-21,119.34,2.1
BGRENERGY,2023-07-04,58.7,2025-08-07,123.26,2.1
AARVEEDEN,2023-07-04,20.05,2024-02-05,42.1,2.1
