ticker,base_date,base_price,tripled_date,tripled_price,multiple
MOTILALOFS,2023-07-04,42.83,2024-04-19,135.27,3.16
NEULANDLAB,2023-07-04,2960.64,2024-08-01,9366.03,3.16
SAKAR,2023-07-04,247.9,2026-05-18,779.95,3.15
SILVERTUC,2023-07-04,396.05,2026-01-02,1248.5,3.15
DEEPINDS,2023-07-04,180.0,2024-11-28,566.7,3.15
MOIL,2023-07-04,167.35,2024-05-17,524.85,3.14
IRFC,2023-07-04,29.71,2023-12-19,93.41,3.14
VLEGOV,2023-08-29,39.5,2024-09-03,123.98,3.14
IIFLSEC,2023-07-04,60.65,2024-05-22,190.5,3.14
FORCEMOT,2023-07-04,2591.57,2024-04-05,8128.95,3.14
SILGO,2023-07-04,20.85,2025-08-20,65.46,3.14
TEMBO,2023-09-11,243.4,2025-11-10,764.9,3.14
SWELECTES,2023-07-04,380.4,2024-02-26,1190.95,3.13
HPL,2023-07-04,155.3,2024-06-18,486.75,3.13
GTLINFRA,2023-07-04,0.8,2024-02-12,2.5,3.13
AEROFLEX,2023-08-31,163.25,2026-06-17,510.9,3.13
TEXRAIL,2023-07-04,75.85,2024-06-27,237.6,3.13
UNIVASTU,2023-07-04,104.85,2025-01-14,327.95,3.13
SELAN,2023-07-04,312.45,2024-08-02,977.45,3.13
PRAENG,2023-07-04,11.2,2024-06-19,35.11,3.13
JUBLPHARMA,2023-07-04,376.77,2024-09-13,1180.89,3.13
ZOMATO,2023-07-04,74.8,2024-08-01,234.09,3.13
JPASSOCIAT,2023-07-04,8.1,2024-02-07,25.35,3.13
63MOONS,2023-07-04,244.55,2024-12-05,766.6,3.13
MRPL,2023-07-04,73.68,2024-02-15,229.79,3.12
PURVA,2023-07-04,94.1,2024-04-09,293.35,3.12
JYOTICNC,2024-01-16,434.2,2024-06-19,1353.1,3.12
AZAD,2023-12-28,677.5,2026-04-23,2111.0,3.12
PITTIENG,2023-07-04,375.6,2024-07-04,1171.9,3.12
PRUDENT,2023-07-04,997.0,2024-10-31,3112.7,3.12
ELGIRUBCO,2023-07-04,39.45,2024-11-05,123.1,3.12
TCPLPACK,2023-07-04,1416.5,2025-03-04,4413.35,3.12
WEBELSOLAR,2023-07-04,85.9,2023-12-18,267.45,3.11
HFCL,2023-07-04,67.41,2026-06-19,209.61,3.11
QPOWER,2025-02-24,387.9,2026-04-17,1206.05,3.11
OPTIEMUS,2023-07-04,210.2,2024-09-13,653.35,3.11
SALSTEEL,2023-07-04,15.9,2026-04-13,49.44,3.11
HUDCO,2023-07-04,47.14,2024-01-24,146.56,3.11
ZENTEC,2023-07-04,413.49,2024-07-01,1285.28,3.11
ASALCBR,2023-07-04,416.4,2025-01-30,1293.6,3.11
GENUSPOWER,2023-07-04,140.9,2024-08-21,437.75,3.11
CPPLUS,2025-08-05,1082.65,2026-06-03,3369.2,3.11
JWL,2023-07-04,177.25,2024-05-22,550.86,3.11
MSPL,2023-07-04,8.7,2024-03-26,27.1,3.11
ASTRAMICRO,2023-07-04,375.25,2025-05-28,1163.7,3.1
PRAKASH,2023-07-04,74.4,2024-08-26,230.88,3.1
AJMERA,2023-07-04,364.7,2024-12-05,1131.3,3.1
BALUFORGE,2024-04-29,275.5,2024-09-09,854.35,3.1
GEPIL,2023-07-04,154.95,2024-07-05,479.9,3.1
TARC,2023-07-04,67.15,2024-07-02,208.04,3.1
ZENITHSTL,2023-09-11,4.1,2024-07-01,12.73,3.1
FMNL,2023-07-04,4.7,2025-08-04,14.59,3.1
DGCONTENT,2023-08-16,17.5,2025-06-09,54.31,3.1
MAHSCOOTER,2023-07-04,5590.53,2025-09-08,17345.69,3.1
DHRUV,2023-07-04,49.25,2024-11-28,152.69,3.1
POLICYBZR,2023-07-04,690.9,2024-12-06,2142.3,3.1
