"Index Name","Date","Open","High","Low","Close"
"NIFTY SMALLCAP 50","30 Jun 2014","-","-","-","2873.11"
"NIFTY SMALLCAP 50","27 Jun 2014","-","-","-","2824.13"
"NIFTY SMALLCAP 50","26 Jun 2014","-","-","-","2820.69"
"NIFTY SMALLCAP 50","25 Jun 2014","-","-","-","2827.06"
"NIFTY SMALLCAP 50","24 Jun 2014","-","-","-","2817.07"
"NIFTY SMALLCAP 50","23 Jun 2014","-","-","-","2753.31"
"NIFTY SMALLCAP 50","20 Jun 2014","-","-","-","2727.92"
"NIFTY SMALLCAP 50","19 Jun 2014","-","-","-","2752.54"
"NIFTY SMALLCAP 50","18 Jun 2014","-","-","-","2752.86"
"NIFTY SMALLCAP 50","17 Jun 2014","-","-","-","2785.93"
"NIFTY SMALLCAP 50","16 Jun 2014","-","-","-","2739.90"
"NIFTY SMALLCAP 50","13 Jun 2014","-","-","-","2728.32"
"NIFTY SMALLCAP 50","12 Jun 2014","-","-","-","2824.09"
"NIFTY SMALLCAP 50","11 Jun 2014","-","-","-","2848.01"
"NIFTY SMALLCAP 50","10 Jun 2014","-","-","-","2890.28"
"NIFTY SMALLCAP 50","09 Jun 2014","-","-","-","2897.03"
"NIFTY SMALLCAP 50","06 Jun 2014","-","-","-","2810.84"
"NIFTY SMALLCAP 50","05 Jun 2014","-","-","-","2751.18"
"NIFTY SMALLCAP 50","04 Jun 2014","-","-","-","2710.78"
"NIFTY SMALLCAP 50","03 Jun 2014","-","-","-","2643.02"
"NIFTY SMALLCAP 50","02 Jun 2014","-","-","-","2599.45"
"NIFTY SMALLCAP 50","30 May 2014","-","-","-","2541.43"
"NIFTY SMALLCAP 50","29 May 2014","-","-","-","2530.14"
"NIFTY SMALLCAP 50","28 May 2014","-","-","-","2536.74"
"NIFTY SMALLCAP 50","27 May 2014","-","-","-","2524.11"
"NIFTY SMALLCAP 50","26 May 2014","-","-","-","2547.09"
"NIFTY SMALLCAP 50","23 May 2014","-","-","-","2640.06"
"NIFTY SMALLCAP 50","22 May 2014","-","-","-","2579.17"
"NIFTY SMALLCAP 50","21 May 2014","-","-","-","2483.76"
"NIFTY SMALLCAP 50","20 May 2014","-","-","-","2453.99"
