"Index Name","Date","Open","High","Low","Close"
"NIFTY NEXT 50","29 Jul 2015","20388.30","20485.00","20354.85","20421.60"
"NIFTY NEXT 50","28 Jul 2015","20417.70","20448.50","20280.15","20325.90"
"NIFTY NEXT 50","27 Jul 2015","20578.95","20578.95","20353.55","20378.05"
"NIFTY NEXT 50","24 Jul 2015","20823.25","20864.70","20615.15","20636.70"
"NIFTY NEXT 50","23 Jul 2015","20860.65","20908.35","20747.85","20789.70"
"NIFTY NEXT 50","22 Jul 2015","20514.15","20800.85","20483.80","20774.60"
"NIFTY NEXT 50","21 Jul 2015","20944.30","20944.30","20494.10","20556.55"
"NIFTY NEXT 50","20 Jul 2015","20911.15","20931.60","20823.00","20889.00"
"NIFTY NEXT 50","17 Jul 2015","20851.05","20916.95","20728.65","20880.25"
"NIFTY NEXT 50","16 Jul 2015","20577.50","20781.65","20564.30","20761.90"
"NIFTY NEXT 50","15 Jul 2015","20546.50","20591.20","20445.05","20506.40"
"NIFTY NEXT 50","14 Jul 2015","20521.75","20580.45","20454.65","20505.95"
"NIFTY NEXT 50","13 Jul 2015","20302.70","20472.85","20270.85","20463.30"
"NIFTY NEXT 50","10 Jul 2015","20326.80","20381.80","20153.80","20223.75"
"NIFTY NEXT 50","09 Jul 2015","20307.60","20371.25","20208.00","20235.80"
"NIFTY NEXT 50","08 Jul 2015","20323.25","20480.00","20141.70","20264.30"
"NIFTY NEXT 50","07 Jul 2015","20447.05","20552.85","20371.65","20493.75"
"NIFTY NEXT 50","06 Jul 2015","20010.30","20413.50","19954.55","20400.30"
"NIFTY NEXT 50","03 Jul 2015","20320.35","20459.85","20225.20","20263.75"
"NIFTY NEXT 50","02 Jul 2015","20151.75","20320.40","20146.35","20285.40"
"NIFTY NEXT 50","01 Jul 2015","19900.80","20137.40","19886.45","20065.95"
"NIFTY NEXT 50","30 Jun 2015","19621.85","19832.20","19606.70","19825.45"
"NIFTY NEXT 50","29 Jun 2015","19419.40","19608.55","19303.85","19588.20"
"NIFTY NEXT 50","26 Jun 2015","19791.50","19855.25","19673.05","19814.10"
"NIFTY NEXT 50","25 Jun 2015","19687.80","19863.10","19674.70","19842.20"
"NIFTY NEXT 50","24 Jun 2015","19883.15","19922.55","19683.80","19736.30"
"NIFTY NEXT 50","23 Jun 2015","19869.15","19960.20","19777.05","19845.35"
"NIFTY NEXT 50","22 Jun 2015","19583.40","19838.85","19530.00","19819.80"
"NIFTY NEXT 50","19 Jun 2015","19502.95","19609.65","19473.45","19524.60"
"NIFTY NEXT 50","18 Jun 2015","19370.00","19440.10","19334.20","19415.75"
"NIFTY NEXT 50","17 Jun 2015","19136.80","19421.10","19104.05","19331.15"
"NIFTY NEXT 50","16 Jun 2015","18946.25","19065.45","18824.40","19027.05"
"NIFTY NEXT 50","15 Jun 2015","18910.65","19033.50","18864.15","18908.50"
"NIFTY NEXT 50","12 Jun 2015","18779.70","18899.70","18741.80","18880.20"
"NIFTY NEXT 50","11 Jun 2015","19254.40","19289.25","18817.25","18840.60"
"NIFTY NEXT 50","10 Jun 2015","18981.50","19174.45","18970.65","19130.45"
"NIFTY NEXT 50","09 Jun 2015","18961.30","19032.95","18819.65","18941.50"
"NIFTY NEXT 50","08 Jun 2015","19283.15","19296.65","18925.30","18983.95"
"NIFTY NEXT 50","05 Jun 2015","19133.25","19333.65","19082.45","19243.85"
"NIFTY NEXT 50","04 Jun 2015","19195.10","19236.10","18977.55","19193.10"
"NIFTY NEXT 50","03 Jun 2015","19419.80","19419.80","18818.55","19155.30"
"NIFTY NEXT 50","02 Jun 2015","19856.25","19875.80","19389.25","19407.35"
"NIFTY NEXT 50","01 Jun 2015","19785.55","19867.45","19729.95","19812.65"
"NIFTY NEXT 50","29 May 2015","19651.35","19901.75","19611.70","19875.35"
"NIFTY NEXT 50","28 May 2015","19756.70","19763.45","19413.40","19592.10"
"NIFTY NEXT 50","27 May 2015","19729.45","19804.55","19627.00","19738.40"
"NIFTY NEXT 50","26 May 2015","19939.80","20027.70","19801.55","19873.80"
"NIFTY NEXT 50","25 May 2015","19872.60","19976.75","19800.05","19899.70"
"NIFTY NEXT 50","22 May 2015","19937.85","19966.65","19829.40","19901.65"
"NIFTY NEXT 50","21 May 2015","19970.75","19986.65","19808.50","19881.40"
"NIFTY NEXT 50","20 May 2015","20030.90","20101.10","19909.00","19948.55"
"NIFTY NEXT 50","19 May 2015","19915.70","20040.80","19840.40","19922.80"
"NIFTY NEXT 50","18 May 2015","19770.60","19954.50","19745.65","19930.30"
"NIFTY NEXT 50","15 May 2015","19690.50","19772.35","19596.70","19696.25"
"NIFTY NEXT 50","14 May 2015","19368.65","19647.45","19262.60","19626.85"
"NIFTY NEXT 50","13 May 2015","19120.55","19411.20","19066.90","19384.25"
"NIFTY NEXT 50","12 May 2015","19359.85","19359.85","18935.95","18980.00"
"NIFTY NEXT 50","11 May 2015","19057.45","19363.45","19046.10","19342.75"
"NIFTY NEXT 50","08 May 2015","18647.95","18968.85","18647.95","18920.35"
"NIFTY NEXT 50","07 May 2015","18988.10","18988.10","18358.60","18522.75"
"NIFTY NEXT 50","06 May 2015","19611.65","19701.80","18979.70","19024.85"
"NIFTY NEXT 50","05 May 2015","19541.00","19688.10","19494.80","19669.35"
"NIFTY NEXT 50","04 May 2015","19305.40","19556.20","19261.85","19523.85"
"NIFTY NEXT 50","30 Apr 2015","19165.80","19243.45","19015.95","19188.95"
"NIFTY NEXT 50","29 Apr 2015","19159.85","19197.95","19003.20","19163.85"
