"Strategy","Returns","","","","Consistency","","","","","Risk","","","","Trade quality","","","","","","","","Year-on-year returns","","","","","","","","","","","","","","","","","","Setup"
"Name","CAGR (post-tax) ●","CAGR (pre-tax)","Benchmark","Excess","3y median","5y median","Worst 3y","Positive 3y windows","Positive years","Max drawdown","Volatility","Sharpe","Sortino","Trades","Distinct stocks traded","Churn/yr","Avg hold (days)","% trades won","Avg gain per winning trade","Avg loss per losing trade","Gain : loss","FY27","FY26","FY25","FY24","FY23","FY22","FY21","FY20","FY19","FY18","FY17","FY16","FY15","FY14","FY13","FY12","FY11","FY10","Trade book"
"M3_51_100_allrisk_lb9mo_bimonthly_top10_63d","6.0%/yr","7.5%/yr","14.2%/yr","-8.2 pp/yr","4.9%/yr","8.3%/yr","-8.9%/yr","11 of 16","11 of 18","-36.7%","16.8%/yr","0.44","0.53","421","160","24.4","88","51.1%","19.7%","-12.8%","1.54×","16.8%","-4.4%","-30.0%","53.0%","-10.0%","20.6%","61.4%","-24.2%","7.7%","-7.5%","33.8%","-17.6%","41.1%","7.6%","6.8%","-7.7%","0.4%","4.7%",""
"M2_1_75_riskmanaged_lb12mo_quarterly_top10_1y","6.0%/yr","7.3%/yr","14.2%/yr","-8.2 pp/yr","4.7%/yr","6.2%/yr","-8.7%/yr","13 of 16","10 of 18","-34.4%","15.7%/yr","0.46","0.55","294","123","17.0","126","54.4%","20.7%","-13.4%","1.54×","13.0%","-10.6%","-14.0%","43.9%","-5.6%","19.0%","63.9%","-19.0%","5.4%","-10.8%","27.2%","-12.4%","23.2%","4.5%","7.6%","-3.0%","4.6%","0.0%",""
"M6_151_200_riskmanaged_lb12mo_quarterly_top15_1y","6.0%/yr","7.3%/yr","14.2%/yr","-8.2 pp/yr","8.8%/yr","8.3%/yr","-6.8%/yr","12 of 16","9 of 18","-35.3%","15.3%/yr","0.47","0.51","462","203","26.8","113","52.2%","23.7%","-15.3%","1.55×","16.8%","-12.0%","9.8%","52.4%","-16.1%","24.6%","37.4%","-21.3%","-6.9%","23.0%","23.6%","-1.0%","28.2%","-2.9%","-7.9%","3.7%","-15.3%","0.0%",""
"M3_51_100_allrisk_lb12mo_monthly_top20_1y","6.0%/yr","7.2%/yr","14.2%/yr","-8.2 pp/yr","6.1%/yr","7.0%/yr","-5.9%/yr","13 of 16","9 of 18","-31.8%","11.7%/yr","0.56","0.67","716","178","41.5","102","53.4%","19.1%","-12.7%","1.50×","12.5%","-5.8%","-16.9%","35.7%","-0.3%","21.5%","42.0%","-18.3%","-2.8%","4.9%","23.4%","-6.0%","20.6%","12.2%","7.6%","-2.9%","-2.4%","0.0%",""
"M12_551_800_allrisk_lb9mo_monthly_top20_63d","6.0%/yr","7.3%/yr","14.2%/yr","-8.2 pp/yr","6.4%/yr","7.7%/yr","-4.8%/yr","12 of 16","9 of 18","-36.4%","16.0%/yr","0.45","0.54","1,428","652","82.8","44","46.6%","20.1%","-13.4%","1.50×","19.9%","-11.4%","-6.1%","47.8%","-25.9%","34.2%","50.1%","-21.0%","0.4%","11.7%","8.8%","-2.9%","38.8%","14.4%","-4.6%","-1.2%","-8.4%","-3.1%",""
"M7_161_275_riskmanaged_lb3mo_bimonthly_top10_21d","6.0%/yr","7.2%/yr","14.2%/yr","-8.2 pp/yr","4.7%/yr","8.8%/yr","-14.2%/yr","11 of 16","8 of 18","-56.9%","21.9%/yr","0.38","0.48","700","286","40.6","67","50.1%","19.2%","-13.8%","1.39×","17.1%","-2.1%","-2.7%","67.3%","-1.5%","25.6%","73.8%","-22.0%","-4.2%","41.2%","9.4%","-23.8%","15.8%","5.7%","-18.1%","-19.4%","-4.2%","-0.1%",""
"M8_201_300_riskmanaged_lb6mo_monthly_top20_63d","6.0%/yr","7.1%/yr","14.2%/yr","-8.2 pp/yr","3.7%/yr","5.4%/yr","-6.5%/yr","14 of 16","11 of 18","-32.9%","14.1%/yr","0.49","0.59","1,489","355","86.3","43","48.2%","14.7%","-10.0%","1.47×","19.3%","3.4%","-10.4%","36.6%","-0.7%","31.4%","36.9%","-16.0%","-6.7%","4.3%","13.5%","-12.8%","15.9%","11.4%","-7.9%","0.2%","6.3%","-1.1%",""
"M2_1_75_allrisk_lb12mo_quarterly_top15_1y","6.0%/yr","7.2%/yr","14.2%/yr","-8.2 pp/yr","6.1%/yr","6.0%/yr","-11.2%/yr","13 of 16","12 of 18","-36.9%","12.7%/yr","0.53","0.63","384","136","22.3","131","54.4%","21.3%","-12.8%","1.66×","7.0%","0.6%","-10.7%","37.4%","-8.9%","15.9%","54.9%","-22.4%","3.8%","-13.0%","26.6%","-9.9%","29.3%","4.7%","9.9%","1.4%","4.7%","0.0%",""
"M5_101_150_riskmanaged_lb12mo_weekly_top15_1y","6.0%/yr","7.2%/yr","14.2%/yr","-8.2 pp/yr","8.5%/yr","8.7%/yr","-8.2%/yr","12 of 16","10 of 18","-40.3%","15.0%/yr","0.47","0.57","1,167","218","67.7","60","48.7%","15.9%","-11.1%","1.43×","5.7%","-0.4%","-0.9%","43.0%","1.2%","12.8%","47.5%","-16.7%","-4.7%","15.7%","19.0%","-12.8%","39.0%","3.9%","-10.1%","-17.1%","5.9%","0.0%",""
"M3_51_100_riskmanaged_lb3mo_biweekly_top15_21d","6.0%/yr","7.4%/yr","14.2%/yr","-8.2 pp/yr","6.4%/yr","5.8%/yr","-6.7%/yr","12 of 16","8 of 18","-37.3%","14.6%/yr","0.48","0.61","2,028","194","117.6","32","46.5%","9.8%","-6.3%","1.54×","11.6%","-5.6%","-9.6%","41.4%","-1.8%","-2.1%","66.7%","-20.8%","-9.1%","12.7%","12.7%","-8.0%","31.3%","9.8%","-0.1%","-9.8%","-9.9%","28.5%",""
"M2_1_75_allrisk_lb12mo_quarterly_top20_1y","6.0%/yr","7.1%/yr","14.2%/yr","-8.2 pp/yr","5.6%/yr","7.1%/yr","-5.3%/yr","14 of 16","12 of 18","-23.4%","11.6%/yr","0.57","0.66","470","144","27.3","136","54.5%","21.5%","-12.8%","1.68×","8.8%","0.6%","-12.2%","31.7%","-6.1%","15.2%","43.3%","-14.9%","6.9%","-6.6%","23.0%","-12.4%","31.2%","3.6%","2.9%","0.1%","8.5%","0.0%",""
"M12_551_800_allrisk_lb9mo_biweekly_top15_63d","6.0%/yr","7.6%/yr","14.2%/yr","-8.2 pp/yr","7.6%/yr","6.3%/yr","-12.1%/yr","11 of 16","10 of 18","-50.1%","17.4%/yr","0.43","0.52","1,382","628","80.1","41","46.2%","20.9%","-14.2%","1.48×","17.1%","-2.0%","-14.1%","62.1%","-32.9%","29.5%","66.0%","-24.3%","-14.9%","5.4%","38.8%","2.3%","14.7%","11.9%","-2.9%","-0.9%","0.8%","-1.6%",""
"M3_51_100_allrisk_lb3mo_monthly_top15_21d","6.0%/yr","7.2%/yr","14.2%/yr","-8.2 pp/yr","5.1%/yr","5.2%/yr","-8.8%/yr","14 of 16","10 of 18","-40.4%","15.5%/yr","0.46","0.59","1,333","198","77.3","53","48.2%","12.7%","-8.4%","1.50×","19.3%","-8.8%","-6.6%","34.9%","-5.2%","2.2%","53.6%","-19.5%","-10.5%","5.4%","22.2%","-9.1%","21.4%","14.2%","2.0%","-13.3%","-0.6%","29.7%",""
"M7_161_275_riskmanaged_lb6mo_biweekly_top20_63d","6.0%/yr","7.4%/yr","14.2%/yr","-8.2 pp/yr","9.5%/yr","8.1%/yr","-13.3%/yr","11 of 16","9 of 18","-54.0%","17.2%/yr","0.43","0.50","1,920","383","111.3","50","49.7%","15.8%","-11.8%","1.33×","15.2%","-7.1%","1.4%","50.0%","-1.0%","30.7%","66.9%","-31.4%","-21.3%","20.7%","24.1%","-18.8%","63.1%","8.6%","-14.2%","-13.2%","-8.3%","-2.7%",""
"M4_76_160_riskmanaged_lb12mo_weekly_top20_1y","6.0%/yr","7.2%/yr","14.2%/yr","-8.2 pp/yr","7.8%/yr","6.6%/yr","-5.0%/yr","12 of 16","9 of 18","-40.3%","14.3%/yr","0.48","0.60","1,592","256","92.3","61","47.6%","16.1%","-10.9%","1.47×","9.0%","-1.3%","-8.6%","42.5%","-5.2%","3.7%","41.7%","-12.4%","-5.8%","8.0%","25.0%","-10.1%","39.8%","12.8%","2.7%","-6.3%","-8.6%","0.0%",""
"M7_161_275_riskmanaged_lb6mo_quarterly_top20_63d","6.0%/yr","7.3%/yr","14.2%/yr","-8.3 pp/yr","8.6%/yr","7.8%/yr","-10.8%/yr","12 of 16","9 of 18","-52.9%","17.5%/yr","0.42","0.49","743","300","43.1","105","50.3%","23.7%","-15.1%","1.57×","10.9%","-2.7%","-2.9%","53.9%","-13.3%","20.4%","92.6%","-32.0%","-17.2%","26.3%","18.3%","-11.2%","42.2%","0.8%","-9.9%","-7.6%","-14.5%","9.9%",""
"M8_201_300_riskmanaged_lb3mo_monthly_top20_21d","6.0%/yr","7.0%/yr","14.2%/yr","-8.3 pp/yr","3.9%/yr","6.1%/yr","-12.5%/yr","13 of 16","9 of 18","-45.4%","15.3%/yr","0.46","0.55","1,734","383","100.5","41","47.5%","14.4%","-9.8%","1.47×","20.2%","-7.1%","-3.3%","45.1%","-10.8%","38.9%","68.0%","-30.2%","-4.6%","0.5%","25.1%","-14.0%","10.4%","9.7%","-7.3%","-3.1%","-0.9%","7.1%",""
"M3_51_100_riskmanaged_lb6mo_quarterly_top20_63d","6.0%/yr","7.1%/yr","14.2%/yr","-8.3 pp/yr","5.2%/yr","5.5%/yr","-7.4%/yr","13 of 16","10 of 18","-31.4%","14.0%/yr","0.49","0.60","623","169","36.1","124","50.7%","20.8%","-12.3%","1.70×","16.6%","-2.3%","-13.0%","37.1%","-2.3%","1.1%","45.5%","-21.4%","3.8%","-2.7%","25.8%","-6.9%","23.2%","10.9%","5.4%","-4.0%","-7.6%","16.9%",""
"M3_51_100_allrisk_lb3mo_monthly_top20_21d","5.9%/yr","7.2%/yr","14.2%/yr","-8.3 pp/yr","5.3%/yr","4.7%/yr","-9.5%/yr","11 of 16","11 of 18","-41.5%","14.0%/yr","0.49","0.62","1,516","203","87.9","59","48.3%","13.4%","-8.7%","1.53×","18.2%","-10.4%","-5.7%","32.2%","1.1%","6.5%","45.0%","-21.2%","-12.6%","7.5%","19.6%","-5.6%","27.0%","11.1%","1.6%","-12.7%","-2.5%","28.7%",""
"M5_101_150_allrisk_lb6mo_weekly_top20_63d","5.9%/yr","7.4%/yr","14.2%/yr","-8.3 pp/yr","5.9%/yr","6.1%/yr","-7.1%/yr","14 of 16","11 of 18","-32.0%","12.4%/yr","0.54","0.65","1,834","256","106.3","45","47.6%","13.0%","-8.7%","1.51×","6.6%","-4.0%","-16.1%","46.5%","-2.9%","6.4%","50.3%","-14.1%","-10.3%","4.0%","19.1%","-9.5%","21.4%","14.3%","8.6%","-0.1%","3.1%","3.6%",""
"M8_201_300_riskmanaged_lb6mo_quarterly_top15_63d","5.9%/yr","7.3%/yr","14.2%/yr","-8.3 pp/yr","8.5%/yr","5.9%/yr","-8.7%/yr","11 of 16","9 of 18","-51.0%","18.4%/yr","0.41","0.48","556","267","32.2","104","49.3%","24.6%","-15.6%","1.58×","19.1%","-0.3%","-19.6%","64.8%","-15.1%","10.4%","94.5%","-32.3%","-16.1%","34.2%","17.5%","-15.6%","35.2%","8.2%","-8.2%","-4.0%","-11.2%","8.8%",""
"M7_161_275_riskmanaged_lb9mo_biweekly_top10_63d","5.9%/yr","7.6%/yr","14.2%/yr","-8.3 pp/yr","7.6%/yr","7.8%/yr","-7.9%/yr","12 of 16","8 of 18","-44.8%","19.3%/yr","0.40","0.49","1,017","296","59.0","50","49.6%","16.6%","-12.7%","1.31×","10.3%","-15.2%","-9.7%","42.4%","-15.2%","48.6%","37.5%","-11.8%","-22.1%","46.1%","26.7%","-14.4%","31.3%","27.1%","-15.2%","-5.0%","-2.9%","-8.9%",""
"M5_101_150_riskmanaged_lb6mo_bimonthly_top20_63d","5.9%/yr","7.0%/yr","14.2%/yr","-8.3 pp/yr","5.8%/yr","7.1%/yr","-5.5%/yr","12 of 16","11 of 18","-29.5%","14.2%/yr","0.48","0.59","819","226","47.5","87","52.0%","18.2%","-12.3%","1.49×","10.3%","2.6%","-9.5%","41.2%","1.3%","16.6%","43.7%","-8.4%","-12.7%","10.7%","21.9%","-12.2%","23.4%","9.0%","-7.9%","-3.0%","-5.5%","2.1%",""
"M8_201_300_riskmanaged_lb9mo_weekly_top15_63d","5.9%/yr","7.4%/yr","14.2%/yr","-8.3 pp/yr","10.4%/yr","9.6%/yr","-13.5%/yr","11 of 16","8 of 18","-50.1%","16.7%/yr","0.43","0.53","1,984","354","115.0","32","47.1%","13.3%","-9.4%","1.42×","16.3%","-10.8%","-17.1%","55.5%","-2.0%","26.5%","54.7%","-16.2%","-18.5%","31.0%","34.4%","-11.0%","43.4%","23.9%","-16.5%","-6.2%","-17.4%","-14.6%",""
"M3_51_100_riskmanaged_lb12mo_bimonthly_top10_1y","5.9%/yr","7.1%/yr","14.2%/yr","-8.3 pp/yr","3.3%/yr","5.1%/yr","-5.5%/yr","12 of 16","9 of 18","-31.8%","16.0%/yr","0.44","0.53","338","143","19.6","122","49.1%","23.5%","-14.0%","1.68×","14.2%","-6.7%","-20.9%","38.3%","-7.7%","43.1%","46.4%","-13.3%","8.0%","-4.7%","32.1%","-11.7%","-6.4%","16.6%","12.9%","0.8%","-7.8%","0.0%",""
"M6_151_200_riskmanaged_lb9mo_quarterly_top10_63d","5.9%/yr","7.2%/yr","14.2%/yr","-8.3 pp/yr","6.8%/yr","7.4%/yr","-4.6%/yr","12 of 16","10 of 18","-42.9%","17.8%/yr","0.42","0.49","367","183","21.3","110","50.4%","22.8%","-14.5%","1.57×","19.4%","4.6%","2.0%","45.2%","-24.2%","36.2%","31.8%","-17.2%","-5.8%","16.7%","21.9%","-4.9%","42.4%","-15.1%","-3.5%","13.5%","-16.8%","-8.0%",""
"M5_101_150_riskmanaged_lb3mo_bimonthly_top20_21d","5.9%/yr","6.9%/yr","14.2%/yr","-8.3 pp/yr","6.3%/yr","6.8%/yr","-7.2%/yr","13 of 16","10 of 18","-33.1%","15.5%/yr","0.45","0.54","975","228","56.5","81","52.1%","16.7%","-12.0%","1.39×","12.5%","2.7%","-10.6%","42.7%","-4.8%","19.5%","45.3%","-23.5%","-2.8%","7.6%","19.7%","-9.2%","20.7%","8.5%","-1.6%","-0.2%","-6.6%","5.7%",""
"M4_76_160_allrisk_lb3mo_biweekly_top10_21d","5.9%/yr","7.4%/yr","14.2%/yr","-8.3 pp/yr","6.1%/yr","5.0%/yr","-2.9%/yr","12 of 16","12 of 18","-34.2%","17.6%/yr","0.42","0.54","1,701","275","98.6","28","45.7%","9.7%","-6.4%","1.51×","12.3%","11.2%","-9.8%","36.7%","-19.9%","8.7%","61.1%","-19.4%","-7.9%","23.8%","18.5%","-16.2%","25.9%","2.2%","3.6%","-13.5%","3.9%","13.6%",""
"M3_51_100_allrisk_lb6mo_bimonthly_top10_63d","5.9%/yr","7.3%/yr","14.2%/yr","-8.3 pp/yr","5.7%/yr","8.5%/yr","-8.5%/yr","10 of 16","10 of 18","-39.9%","17.3%/yr","0.42","0.52","501","169","29.1","87","49.7%","18.8%","-11.9%","1.58×","18.8%","-1.6%","-23.7%","52.2%","-20.3%","24.3%","77.9%","-26.2%","11.6%","-5.2%","34.1%","-14.9%","35.4%","5.9%","1.1%","-18.2%","-7.5%","14.6%",""
"M8_201_300_allrisk_lb12mo_weekly_top20_1y","5.9%/yr","7.2%/yr","14.2%/yr","-8.3 pp/yr","5.4%/yr","7.3%/yr","-6.9%/yr","12 of 16","9 of 18","-35.3%","12.9%/yr","0.52","0.60","1,494","395","86.6","52","45.6%","18.1%","-11.5%","1.56×","17.3%","-6.6%","-13.4%","38.2%","-1.3%","3.5%","39.7%","-19.6%","-9.5%","10.9%","35.0%","-14.7%","41.5%","16.0%","-5.8%","1.0%","-1.3%","0.0%",""
"M12_551_800_allrisk_lb3mo_monthly_top15_21d","5.9%/yr","7.7%/yr","14.2%/yr","-8.3 pp/yr","4.6%/yr","6.8%/yr","-26.9%/yr","12 of 16","11 of 18","-64.4%","20.2%/yr","0.39","0.50","1,507","756","87.4","41","45.0%","20.8%","-13.4%","1.55×","28.6%","-24.5%","4.4%","43.4%","-25.2%","73.0%","46.2%","-46.6%","-13.4%","-15.5%","58.5%","3.5%","51.1%","6.3%","-0.9%","2.5%","-18.5%","13.9%",""
"M5_101_150_riskmanaged_lb9mo_bimonthly_top10_63d","5.8%/yr","7.2%/yr","14.2%/yr","-8.4 pp/yr","6.4%/yr","7.0%/yr","-10.1%/yr","11 of 16","9 of 18","-39.8%","16.6%/yr","0.43","0.53","480","186","27.8","85","53.5%","18.0%","-13.1%","1.37×","8.4%","-0.2%","-10.2%","51.1%","-14.3%","25.7%","33.5%","-2.5%","-21.8%","24.1%","12.8%","-10.8%","41.8%","23.2%","-7.6%","-16.9%","-5.4%","4.4%",""
"M4_76_160_riskmanaged_lb12mo_quarterly_top20_1y","5.8%/yr","7.0%/yr","14.2%/yr","-8.4 pp/yr","7.1%/yr","8.7%/yr","-6.2%/yr","13 of 16","11 of 18","-32.6%","13.7%/yr","0.49","0.59","593","221","34.4","118","49.7%","22.7%","-12.8%","1.77×","7.9%","1.6%","-2.9%","41.0%","3.0%","11.1%","33.8%","-10.7%","1.3%","17.4%","17.4%","-13.7%","23.3%","5.5%","-1.6%","-7.8%","-8.9%","0.0%",""
"F8 · unconstrained","5.8%/yr","7.5%/yr","14.2%/yr","-8.4 pp/yr","5.5%/yr","4.8%/yr","-10.7%/yr","13 of 16","9 of 18","-42.1%","13.6%/yr","0.49","0.55","23,075","1,663","1329.7","36","50.6%","11.5%","-8.9%","1.29×","9.3%","-11.2%","-4.4%","35.7%","-13.8%","16.5%","69.9%","-20.0%","-11.8%","0.8%","21.0%","-14.4%","26.5%","15.3%","-4.2%","-6.4%","-8.3%","40.0%",""
"M8_201_300_riskmanaged_lb9mo_quarterly_top20_63d","5.8%/yr","7.0%/yr","14.2%/yr","-8.4 pp/yr","5.9%/yr","7.1%/yr","-4.1%/yr","11 of 16","9 of 18","-40.5%","15.9%/yr","0.44","0.50","613","276","35.5","108","49.3%","24.9%","-14.9%","1.67×","14.3%","3.4%","-16.8%","66.3%","-14.3%","15.8%","72.4%","-29.0%","-3.0%","29.6%","16.6%","-19.6%","26.4%","6.8%","-6.7%","-2.8%","-2.6%","-4.8%",""
"M6_151_200_riskmanaged_lb6mo_biweekly_top10_63d","5.8%/yr","7.2%/yr","14.2%/yr","-8.4 pp/yr","11.2%/yr","10.4%/yr","-17.4%/yr","12 of 16","10 of 18","-56.9%","19.1%/yr","0.40","0.49","1,051","265","60.9","51","49.3%","15.2%","-11.0%","1.38×","8.6%","0.3%","-4.0%","39.1%","13.6%","7.5%","53.2%","-25.7%","-10.9%","24.7%","32.4%","-14.5%","63.7%","16.8%","-3.2%","-27.6%","-15.3%","-7.9%",""
"M2_1_75_riskmanaged_lb3mo_quarterly_top20_21d","5.8%/yr","7.2%/yr","14.2%/yr","-8.4 pp/yr","4.7%/yr","5.5%/yr","-10.8%/yr","12 of 16","10 of 18","-38.4%","17.1%/yr","0.42","0.53","974","156","56.5","100","52.1%","17.1%","-11.9%","1.44×","10.7%","-4.6%","-19.1%","44.7%","-3.1%","5.0%","82.5%","-26.4%","6.0%","-9.1%","30.1%","-18.7%","14.5%","15.7%","-0.4%","-10.3%","0.0%","29.7%",""
"M8_201_300_riskmanaged_lb9mo_biweekly_top15_63d","5.8%/yr","7.6%/yr","14.2%/yr","-8.4 pp/yr","8.0%/yr","8.9%/yr","-8.4%/yr","10 of 16","9 of 18","-44.8%","17.5%/yr","0.42","0.51","1,338","341","77.6","51","48.2%","16.7%","-11.8%","1.41×","18.0%","-20.6%","-18.1%","47.5%","-15.7%","18.5%","60.3%","-18.4%","-18.5%","27.7%","43.8%","-11.3%","46.3%","27.3%","-16.8%","-10.9%","5.3%","-7.4%",""
"M12_551_800_allrisk_lb9mo_weekly_top10_63d","5.8%/yr","7.7%/yr","14.2%/yr","-8.4 pp/yr","6.4%/yr","4.9%/yr","-13.3%/yr","12 of 16","11 of 18","-53.4%","18.4%/yr","0.40","0.52","1,253","563","72.7","29","44.9%","18.9%","-12.2%","1.55×","11.0%","-1.4%","-11.5%","62.1%","-36.3%","30.9%","44.1%","-32.7%","-9.4%","6.9%","24.6%","1.0%","39.1%","12.9%","-1.0%","4.3%","7.5%","-2.2%",""
"M1_1_50_allrisk_lb12mo_quarterly_top10_1y","5.8%/yr","7.1%/yr","14.2%/yr","-8.4 pp/yr","5.6%/yr","6.0%/yr","-7.4%/yr","13 of 16","10 of 18","-29.6%","13.3%/yr","0.50","0.61","263","92","15.3","128","54.0%","21.0%","-12.0%","1.74×","8.0%","-5.4%","-6.1%","37.6%","-16.4%","20.7%","54.1%","-16.8%","2.8%","-7.2%","24.9%","-19.4%","34.2%","7.8%","2.5%","-3.5%","12.7%","0.0%",""
"M8_201_300_riskmanaged_lb12mo_quarterly_top15_1y","5.8%/yr","7.3%/yr","14.2%/yr","-8.4 pp/yr","9.0%/yr","6.2%/yr","-8.9%/yr","11 of 16","8 of 18","-44.6%","16.9%/yr","0.42","0.48","470","239","27.3","107","47.7%","27.0%","-15.0%","1.80×","13.8%","-14.1%","-14.2%","71.2%","-23.1%","31.0%","87.2%","-35.8%","-2.4%","32.6%","16.3%","-13.0%","41.0%","8.5%","-7.3%","-4.7%","-14.6%","0.0%",""
"M4_76_160_allrisk_lb9mo_weekly_top20_63d","5.8%/yr","7.1%/yr","14.2%/yr","-8.4 pp/yr","7.2%/yr","6.3%/yr","-3.7%/yr","13 of 16","9 of 18","-25.8%","12.1%/yr","0.53","0.62","1,767","269","102.5","45","48.7%","12.7%","-8.8%","1.44×","6.9%","5.1%","-7.0%","36.2%","-6.5%","-1.7%","49.4%","-17.4%","-4.2%","12.8%","28.3%","-9.8%","29.6%","7.9%","4.1%","-4.7%","-0.6%","-5.3%",""
"M5_101_150_riskmanaged_lb9mo_weekly_top15_63d","5.8%/yr","7.1%/yr","14.2%/yr","-8.4 pp/yr","8.0%/yr","8.1%/yr","-9.5%/yr","11 of 16","10 of 18","-39.5%","14.7%/yr","0.46","0.56","1,739","224","100.8","38","48.7%","11.4%","-8.3%","1.38×","6.2%","0.7%","-11.1%","54.4%","3.2%","13.3%","49.8%","-7.7%","-13.1%","18.1%","16.6%","-13.5%","39.5%","9.3%","-10.5%","-11.7%","-6.0%","-5.5%",""
"M5_101_150_riskmanaged_lb9mo_monthly_top20_63d","5.8%/yr","6.9%/yr","14.2%/yr","-8.4 pp/yr","7.6%/yr","8.2%/yr","-5.0%/yr","12 of 16","11 of 18","-26.9%","11.5%/yr","0.55","0.65","1,208","223","70.0","51","49.3%","13.9%","-9.0%","1.54×","10.8%","1.8%","-9.2%","35.4%","2.4%","14.0%","34.0%","-8.0%","4.8%","2.5%","25.9%","-8.2%","24.1%","7.0%","-6.8%","-5.7%","-1.7%","-7.4%",""
"M7_161_275_riskmanaged_lb12mo_bimonthly_top15_1y","5.8%/yr","7.0%/yr","14.2%/yr","-8.4 pp/yr","9.2%/yr","6.7%/yr","-10.4%/yr","12 of 16","9 of 18","-49.6%","17.8%/yr","0.41","0.48","559","274","32.4","117","49.7%","26.3%","-16.9%","1.55×","14.7%","-13.7%","0.2%","61.4%","-18.0%","24.2%","50.2%","-11.8%","-9.0%","30.0%","5.9%","-7.3%","35.4%","7.5%","-6.2%","-13.8%","-11.0%","0.0%",""
"M11_501_800_allrisk_lb3mo_monthly_top20_21d","5.8%/yr","7.4%/yr","14.2%/yr","-8.5 pp/yr","6.9%/yr","6.6%/yr","-28.4%/yr","12 of 16","11 of 18","-68.4%","19.5%/yr","0.39","0.48","2,017","854","117.0","40","45.1%","19.6%","-12.9%","1.52×","27.4%","-21.8%","3.9%","42.8%","-15.3%","62.9%","69.7%","-49.1%","-19.9%","-9.9%","57.5%","2.5%","30.0%","16.8%","2.1%","-0.6%","-20.1%","3.9%",""
"M3_51_100_allrisk_lb9mo_bimonthly_top20_63d","5.7%/yr","6.9%/yr","14.2%/yr","-8.5 pp/yr","5.3%/yr","6.5%/yr","-4.1%/yr","11 of 16","11 of 18","-24.3%","12.3%/yr","0.53","0.61","664","174","38.5","97","50.6%","19.6%","-11.6%","1.69×","9.9%","-4.3%","-9.3%","31.7%","-5.3%","17.0%","37.9%","-15.4%","2.3%","1.8%","22.1%","-7.8%","33.6%","4.5%","-1.0%","-10.2%","4.1%","6.7%",""
"M3_51_100_riskmanaged_lb3mo_monthly_top15_21d","5.7%/yr","7.0%/yr","14.2%/yr","-8.5 pp/yr","6.2%/yr","5.0%/yr","-8.3%/yr","13 of 16","9 of 18","-40.0%","15.5%/yr","0.45","0.57","1,336","186","77.5","50","48.7%","12.2%","-8.3%","1.47×","19.5%","-8.6%","-6.7%","34.9%","-5.2%","2.3%","52.2%","-20.2%","-9.0%","6.3%","21.2%","-6.2%","16.4%","12.4%","-6.5%","-6.0%","-5.0%","35.0%",""
"M1_1_50_allrisk_lb3mo_quarterly_top20_21d","5.7%/yr","7.1%/yr","14.2%/yr","-8.5 pp/yr","3.6%/yr","5.0%/yr","-7.2%/yr","12 of 16","10 of 18","-30.9%","15.4%/yr","0.45","0.57","809","114","46.9","112","54.1%","17.4%","-12.1%","1.43×","9.1%","-4.0%","-17.0%","32.4%","-6.7%","20.1%","55.1%","-19.8%","12.1%","-11.1%","26.1%","-18.1%","12.8%","14.7%","-1.8%","-9.1%","7.1%","28.2%",""
"M7_161_275_riskmanaged_lb12mo_bimonthly_top10_1y","5.7%/yr","7.2%/yr","14.2%/yr","-8.5 pp/yr","5.0%/yr","6.0%/yr","-8.2%/yr","12 of 16","7 of 18","-44.6%","19.9%/yr","0.39","0.46","394","236","22.8","119","49.0%","26.6%","-18.0%","1.48×","17.7%","-12.3%","-21.6%","47.9%","-16.4%","26.6%","66.7%","-3.9%","-7.1%","30.2%","-2.0%","-12.9%","28.2%","26.4%","-2.6%","-6.2%","-15.4%","0.0%",""
"M2_1_75_riskmanaged_lb9mo_quarterly_top15_63d","5.7%/yr","7.0%/yr","14.2%/yr","-8.5 pp/yr","4.2%/yr","7.1%/yr","-3.0%/yr","12 of 16","10 of 18","-30.5%","15.3%/yr","0.45","0.54","452","137","26.2","129","52.4%","21.2%","-13.0%","1.63×","9.0%","-3.4%","-12.3%","35.2%","-5.4%","7.3%","65.3%","-11.4%","6.9%","-3.6%","29.6%","-25.9%","37.4%","5.6%","5.1%","-5.4%","6.3%","-7.1%",""
"M4_76_160_riskmanaged_lb9mo_biweekly_top15_63d","5.7%/yr","7.0%/yr","14.2%/yr","-8.5 pp/yr","8.6%/yr","7.2%/yr","-6.0%/yr","12 of 16","7 of 18","-35.5%","15.7%/yr","0.44","0.52","1,311","251","76.0","55","50.3%","14.4%","-10.6%","1.35×","10.2%","-0.2%","-3.5%","50.2%","-13.1%","-0.3%","67.6%","-22.4%","-0.2%","9.6%","16.1%","-13.9%","56.0%","4.3%","-1.3%","-3.2%","-8.7%","-6.0%",""
"M12_551_800_allrisk_lb3mo_monthly_top20_21d","5.7%/yr","7.4%/yr","14.2%/yr","-8.5 pp/yr","5.4%/yr","5.5%/yr","-25.4%/yr","11 of 16","10 of 18","-65.3%","20.1%/yr","0.38","0.47","1,983","828","115.0","40","45.1%","19.6%","-12.9%","1.52×","25.0%","-25.5%","-2.6%","48.7%","-16.4%","71.1%","57.2%","-41.6%","-23.8%","-6.7%","48.3%","3.4%","28.9%","7.7%","6.1%","-0.9%","-16.8%","11.5%",""
