ticker,company_name,sector,isin
BIOFILCHEM,BIOFIL CHEMICALS  PHARMACEUTICALS LTD,Healthcare,INE829A01014
BLAL,BEML LAND ASSETS LTD,Financial Services,INE0N7W01012
BLUECHIP,BLUE CHIP INDIA LTD,Financial Services,INE657B01025
BMWVENTLTD,BMW VENTURES LTD,Metals & Mining,INE965W01036
BORANA,BORANA WEAVES LTD,Textiles,INE16SF01016
BOSCH-HCIL,BOSCH HOME COMFORT INDIA LTD,Consumer Durables,INE782A01015
BSHSL,BOMBAY SUPER HYBRID SEEDS LTD,Fast Moving Consumer Goods,INE032Z01020
BSL,BSL LTD,Textiles,INE594B01012
BUTTERFLY,BUTTERFLY GANDHIMATHI APPLIANCES LTD,Consumer Durables,INE295F01017
BYKE,THE BYKE HOSPITALITY LTD,Consumer Services,INE319B01014
CANTABIL,CANTABIL RETAIL INDIA LTD,Textiles,INE068L01024
CAPITALSFB,CAPITAL SMALL FINANCE BANK LTD,Financial Services,INE646H01017
CELEBRITY,CELEBRITY FASHIONS LTD,Textiles,INE185H01016
CENTEXT,CENTURY EXTRUSIONS LTD,Capital Goods,INE281A01026
CHEMCON,CHEMCON SPECIALITY CHEMICALS LTD,Chemicals,INE03YM01018
CLSEL,CHAMAN LAL SETIA EXPORTS LTD,Fast Moving Consumer Goods,INE419D01026
CORALFINAC,CORAL INDIA FINANCE  HOUSING LTD,Services,INE558D01021
CORDSCABLE,CORDS CABLE INDUSTRIES LTD,Capital Goods,INE792I01017
COUNCODOS,COUNTRY CONDOS LTD,Realty,INE695B01025
CRAMC,CANARA ROBECO ASSET MANAGEMENT COMPANY LTD,Financial Services,INE218I01013
CREATIVEYE,CREATIVE EYE LTD,"Media, Entertainment & Publication",INE230B01021
CSBBANK,CSB BANK LTD,Financial Services,INE679A01013
CSLFINANCE,CSL FINANCE LTD,Financial Services,INE718F01018
CUBEXTUB,CUBEX TUBINGS LTD,Capital Goods,INE144D01012
DAMODARIND,DAMODAR INDUSTRIES LTD,Textiles,INE497D01022
DAVANGERE,DAVANGERE SUGAR COMPANY LTD,Fast Moving Consumer Goods,INE179G01029
DBEIL,DEEPAK BUILDERS AND ENGINEERS INDIA LTD,Construction,INE0OPA01027
DCBBANK,DCB BANK LTD,Financial Services,INE503A01015
DDEVPLSTIK,DDEV PLASTIKS INDUSTRIES LTD,Chemicals,INE0HR601026
DENORA,DE NORA INDIA LTD,Capital Goods,INE244A01016
DHANBANK,DHANLAXMI BANK LTD,Financial Services,INE680A01011
DIGJAMLMTD,DIGJAM LTD,Textiles,INE731U01028
DIVGIITTS,DIVGI TORQTRANSFER SYSTEMS LTD,Automobile and Auto Components,INE753U01022
DNAMEDIA,DILIGENT MEDIA CORPORATION LTD,"Media, Entertainment & Publication",INE016M01021
DPWIRES,DP WIRES LTD,Capital Goods,INE864X01013
DRAGARWQ,DR AGARWALS EYE HOSPITAL LTD,Healthcare,INE934C01018
DREDGECORP,DREDGING CORPORATION OF INDIA LTD,Services,INE506A01018
DYCL,DYNAMIC CABLES LTD,Capital Goods,INE600Y01019
E2E,E2E NETWORKS LTD,Information Technology,INE255Z01027
ELANTAS,ELANTAS BECK INDIA LTD,Chemicals,INE280B01018
ELLEN,ELLENBARRIE INDUSTRIAL GASES LTD,Chemicals,INE236E01022
EMAMIPAP,EMAMI PAPER MILLS LTD,Forest Materials,INE830C01026
EQUITASBNK,EQUITAS SMALL FINANCE BANK LTD,Financial Services,INE063P01018
ESAFSFB,ESAF SMALL FINANCE BANK LTD,Financial Services,INE818W01011
EUROTEXIND,EUROTEX INDUSTRIES AND EXPORTS LTD,Textiles,INE022C01012
FAIRCHEMOR,FAIRCHEM ORGANICS LTD,Chemicals,INE0DNW01011
FEDFINA,FEDBANK FINANCIAL SERVICES LTD,Financial Services,INE007N01010
FINOPB,FINO PAYMENTS BANK LTD,Financial Services,INE02NC01014
FUSION,FUSION FINANCE LTD,Financial Services,INE139R01012
GANDHITUBE,GANDHI SPECIAL TUBES LTD,Capital Goods,INE524B01027
GANESHCP,GANESH CONSUMER PRODUCTS LTD,Fast Moving Consumer Goods,INE652V01016
GHCLTEXTIL,GHCL TEXTILES LTD,Textiles,INE0PA801013
GINNIFILA,GINNI FILAMENTS LTD,Textiles,INE424C01010
GLOBALE,GLOBALE TESSILE LTD,Textiles,INE0URU01010
GLOBALVECT,GLOBAL VECTRA HELICORP LTD,Services,INE792H01019
GOODYEAR,GOODYEAR INDIA LTD,Automobile and Auto Components,INE533A01012
GOPAL,GOPAL SNACKS LTD,Fast Moving Consumer Goods,INE0L9R01028
GUJRAFFIA,GUJARAT RAFFIA INDUSTRIES LTD,Capital Goods,INE610B01024
GUJTHEM,GUJARAT THEMIS BIOSYN LTD,Healthcare,INE942C01045
HAWKINCOOK,HAWKINS COOKERS LTD,Consumer Durables,INE979B01015
HEIDELBERG,HEIDELBERGCEMENT INDIA LTD,Construction Materials,INE578A01017
HEMIPROP,HEMISPHERE PROPERTIES INDIA LTD,Services,INE0AJG01018
HILTON,HILTON METAL FORGING LTD,Capital Goods,INE788H01017
HISARMETAL,HISAR METAL INDUSTRIES LTD,Capital Goods,INE598C01011
HONDAPOWER,HONDA INDIA POWER PRODUCTS LTD,Capital Goods,INE634A01018
INCREDIBLE,INCREDIBLE INDUSTRIES LTD,Capital Goods,INE452L01012
INDBANK,INDBANK MERCHANT BANKING SERVICES LTD,Financial Services,INE841B01017
INDIANHUME,INDIAN HUME PIPE COMPANY LTD,Construction,INE323C01030
INDIQUBE,INDIQUBE SPACES LTD,Services,INE06ST01018
INDOTECH,INDO TECH TRANSFORMERS LTD,Capital Goods,INE332H01014
INDRAMEDCO,INDRAPRASTHA MEDICAL CORPORATION LTD,Healthcare,INE681B01017
INDTERRAIN,INDIAN TERRAIN FASHIONS LTD,Textiles,INE611L01021
INGERRAND,INGERSOLL-RAND (INDIA) LTD,Capital Goods,INE177A01018
INTERARCH,INTERARCH BUILDING SOLUTIONS LTD,Construction,INE00M901018
ISHANCH,ISHAN DYES AND CHEMICALS LTD,Chemicals,INE561M01018
IVP,IVP LTD,Chemicals,INE043C01018
JAGSNPHARM,JAGSONPAL PHARMACEUTICALS LTD,Healthcare,INE048B01035
JISLDVREQS,JAIN IRRIGATION SYSTEMS LTD_DVR,Capital Goods,IN9175A01010
JSFB,JANA SMALL FINANCE BANK LTD,Financial Services,INE953L01027
KAKATCEM,KAKATIYA CEMENT SUGAR  INDUSTRIES LTD,Construction Materials,INE437B01014
KALYANIFRG,KALYANI FORGE LTD,Capital Goods,INE314G01014
KEEPLEARN,DSJ KEEP LEARNING LTD,Consumer Services,INE055C01020
KHAICHEM,KHAITAN CHEMICALS  FERTILIZERS LTD,Chemicals,INE745B01028
KINGFA,KINGFA SCIENCE  TECHNOLOGY (INDIA) LTD,Capital Goods,INE473D01015
KIOCL,KIOCL LTD,Metals & Mining,INE880L01014
KREBSBIO,KREBS BIOCHEMICALS  INDUSTRIES LTD,Healthcare,INE268B01013
KRONOX,KRONOX LAB SCIENCES LTD,Chemicals,INE0ATZ01017
KROSS,KROSS LTD,Automobile and Auto Components,INE0O6601022
KSHINTL,KSH INTERNATIONAL LTD,Capital Goods,INE987S01020
KSR,KSR FOOTWEAR LTD,Consumer Durables,INE1SPP01016
KUANTUM,KUANTUM PAPERS LTD,Forest Materials,INE529I01021
KWIL,KWALITY WALLS (INDIA) LTD,Fast Moving Consumer Goods,INE2KCE01013
LAL,LORENZINI APPARELS LTD,Textiles,INE740X01023
LAMBODHARA,LAMBODHARA TEXTILE LTD,Textiles,INE112F01022
LAOPALA,LA OPALA RG LTD,Consumer Durables,INE059D01020
LASA,LASA SUPERGENERICS LTD,Healthcare,INE670X01014
LAXMIINDIA,LAXMI INDIA FINANCE LTD,Financial Services,INE06WU01026
LOKESHMACH,LOKESH MACHINES LTD,Capital Goods,INE397H01017
LORDSCHLO,LORDS CHLORO ALKALI LTD,Chemicals,INE846D01012
LOTUSEYE,LOTUS EYE HOSPITAL AND INSTITUTE LTD,Healthcare,INE947I01017
LOVABLE,LOVABLE LINGERIE LTD,Textiles,INE597L01014
LPDC,LANDMARK PROPERTY DEVELOPMENT COMPANY LTD,Realty,INE197J01017
MADRASFERT,MADRAS FERTILIZERS LTD,Chemicals,INE414A01015
MAGADSUGAR,MAGADH SUGAR  ENERGY LTD,Fast Moving Consumer Goods,INE347W01011
MAHSCOOTER,MAHARASHTRA SCOOTERS LTD,Financial Services,INE288A01013
MALUPAPER,MALU PAPER MILLS LTD,Forest Materials,INE383H01017
MANAKALUCO,MANAKSIA ALUMINIUM COMPANY LTD,Metals & Mining,INE859Q01017
MANBA,MANBA FINANCE LTD,Financial Services,INE939X01013
MANGLMCEM,MANGALAM CEMENT LTD,Construction Materials,INE347A01017
MANOMAY,MANOMAY TEX INDIA LTD,Textiles,INE784W01015
MARALOVER,MARAL OVERSEAS LTD,Textiles,INE882A01013
MAZDA,MAZDA LTD,Capital Goods,INE885E01042
MEDICO,MEDICO REMEDIES LTD,Healthcare,INE630Y01024
MEIL,MANGAL ELECTRICAL INDUSTRIES LTD,Capital Goods,INE0PKD01011
MKPL,M K PROTEINS LTD,Fast Moving Consumer Goods,INE964W01021
MONEYBOXX,MONEYBOXX FINANCE LTD,Financial Services,INE296Q01012
MOTISONS,MOTISONS JEWELLERS LTD,Consumer Durables,INE0FRK01020
MUNJALSHOW,MUNJAL SHOWA LTD,Automobile and Auto Components,INE577A01027
MUTHOOTCAP,MUTHOOT CAPITAL SERVICES LTD,Financial Services,INE296G01013
MUTHOOTMF,MUTHOOT MICROFIN LTD,Financial Services,INE046W01019
MVGJL,MANOJ VAIBHAV GEMS N JEWELLERS LTD,Consumer Durables,INE0KNT01012
NAGREEKCAP,NAGREEKA CAPITAL  INFRASTRUCTURE LTD,Financial Services,INE245I01016
NAHARSPING,NAHAR SPINNING MILLS LTD,Textiles,INE290A01027
NARMADA,NARMADA AGROBASE LTD,Fast Moving Consumer Goods,INE117Z01029
NATIONSTD,NATIONAL STANDARD (INDIA) LTD,Realty,INE166R01015
NAVKARURB,NAVKAR URBANSTRUCTURE LTD,Construction,INE268H01044
NDL,NANDAN DENIM LTD,Textiles,INE875G01048
NGIL,NAKODA GROUP OF INDUSTRIES LTD,Fast Moving Consumer Goods,INE236Y01012
NIRLON,NIRLON LTD,Services,INE910A01012
NITINSPIN,NITIN SPINNERS LTD,Textiles,INE229H01012
NORBTEAEXP,NORBEN TEA  EXPORTS LTD,Fast Moving Consumer Goods,INE369C01017
NOVARTIND,NOVARTIS INDIA LTD,Healthcare,INE234A01025
NRAIL,NR AGARWAL INDUSTRIES LTD,Forest Materials,INE740D01017
OCCLLTD,OCCL LTD,Chemicals,INE0PK601023
ODIGMA,ODIGMA CONSULTANCY SOLUTIONS LTD,Information Technology,INE054301028
OILCOUNTUB,OIL COUNTRY TUBULAR LTD,"Oil, Gas & Consumable Fuels",INE591A01010
OMPOWER,OM POWER TRANSMISSION LTD,Construction,INE25E901019
ORIENTALTL,ORIENTAL TRIMEX LTD,Consumer Durables,INE998H01012
ORIENTCEM,ORIENT CEMENT LTD,Construction Materials,INE876N01018
ORIENTELEC,ORIENT ELECTRIC LTD,Consumer Durables,INE142Z01019
ORIENTLTD,ORIENT PRESS LTD,Capital Goods,INE609C01024
ORISSAMINE,ORISSA MINERALS DEVELOPMENT COMPANY LTD,Metals & Mining,INE725E01024
PARASPETRO,PARAS PETROFILS LTD,Financial Services,INE162C01024
PASUPTAC,PASUPATI ACRYLON LTD,Chemicals,INE818B01023
PATELRMART,PATEL RETAIL LTD,Consumer Services,INE0R8B01010
PAUSHAKLTD,PAUSHAK LTD,Chemicals,INE111F01024
PDMJEPAPER,PUDUMJEE PAPER PRODUCTS LTD,Forest Materials,INE865T01018
PEARLPOLY,PEARL POLYMERS LTD,Consumer Durables,INE844A01013
PGHH,PROCTER  GAMBLE HYGIENE AND HEALTH CARE LTD,Fast Moving Consumer Goods,INE179A01014
PGHL,PROCTER  GAMBLE HEALTH LTD,Healthcare,INE199A01012
PILITA,PIL ITALICA LIFESTYLE LTD,Consumer Durables,INE600A01035
PLASTIBLEN,PLASTIBLENDS INDIA LTD,Chemicals,INE083C01022
PLAZACABLE,PLAZA WIRES LTD,Capital Goods,INE0INJ01017
PNBGILTS,PNB GILTS LTD,Financial Services,INE859A01011
PNGSREVA,PNGS REVA DIAMOND JEWELLERY LTD,Consumer Durables,INE1RDG01013
PODDARMENT,PODDAR PIGMENTS LTD,Chemicals,INE371C01013
PONNIERODE,PONNI SUGARS (ERODE) LTD,Fast Moving Consumer Goods,INE838E01017
PPL,PRAKASH PIPES LTD,Capital Goods,INE050001010
PRAXIS,PRAXIS HOME RETAIL LTD,Consumer Services,INE546Y01022
PRINCEPIPE,PRINCE PIPES AND FITTINGS LTD,Capital Goods,INE689W01016
PSB,PUNJAB  SIND BANK,Financial Services,INE608A01012
PYRAMID,PYRAMID TECHNOPLAST LTD,Capital Goods,INE0MIS01010
QUADFUTURE,QUADRANT FUTURE TEK LTD,Capital Goods,INE0LRY01011
RADHIKAJWE,RADHIKA JEWELTECH LTD,Consumer Durables,INE583V01021
RAJTV,RAJ TELEVISION NETWORK LTD,"Media, Entertainment & Publication",INE952H01027
RAMANEWS,SHREE RAMA NEWSPRINT LTD,Forest Materials,INE278B01020
RAMAPHO,RAMA PHOSPHATES LTD,Chemicals,INE809A01032
RANASUG,RANA SUGARS LTD,Fast Moving Consumer Goods,INE625B01014
RBZJEWEL,RBZ JEWELLERS LTD,Consumer Durables,INE0PEQ01016
REGAAL,REGAAL RESOURCES LTD,Fast Moving Consumer Goods,INE0MHO01029
REGENCERAM,REGENCY CERAMICS LTD,Consumer Durables,INE277C01012
RELAXO,RELAXO FOOTWEARS LTD,Consumer Durables,INE131B01039
RELCHEMQ,RELIANCE CHEMOTEX INDUSTRIES LTD,Textiles,INE750D01016
RHETAN,RHETAN TMT LTD,Capital Goods,INE0KKN01029
RHL,ROBUST HOTELS LTD,Consumer Services,INE508K01013
RKDL,RAVI KUMAR DISTILLERIES LTD,Fast Moving Consumer Goods,INE722J01012
ROLEXRINGS,ROLEX RINGS LTD,Automobile and Auto Components,INE645S01024
ROML,RAJ OIL MILLS LTD,Fast Moving Consumer Goods,INE294G01026
RSL,RAJPUTANA STAINLESS LTD,Capital Goods,INE313L01016
RUCHIRA,RUCHIRA PAPERS LTD,Forest Materials,INE803H01014
SAHLIBHFI,SHALIBHADRA FINANCE LTD,Financial Services,INE861D01011
SAHYADRI,SAHYADRI INDUSTRIES LTD,Construction Materials,INE280H01015
SALONA,SALONA COTSPIN LTD,Textiles,INE498E01010
SALSTEEL,SAL STEEL LTD,Metals & Mining,INE658G01014
SANOFICONR,SANOFI CONSUMER HEALTHCARE INDIA LTD,Healthcare,INE0UOS01011
SATIA,SATIA INDUSTRIES LTD,Forest Materials,INE170E01023
SCILAL,SHIPPING CORPORATION OF INDIA LAND AND ASSETS LTD,Financial Services,INE0PB301013
SCODATUBES,SCODA TUBES LTD,Capital Goods,INE090501011
SCPL,SHEETAL COOL PRODUCTS LTD,Fast Moving Consumer Goods,INE501Y01019
SEDEMAC,SEDEMAC MECHATRONICS LTD,Automobile and Auto Components,INE00XB01019
SGFIN,SG FINSERVE LTD,Financial Services,INE618R01015
SHANTIGEAR,SHANTHI GEARS LTD,Capital Goods,INE631A01022
SHANTIGOLD,SHANTI GOLD INTERNATIONAL LTD,Consumer Durables,INE06ZD01017
SHEKHAWATI,SHEKHAWATI INDUSTRIES LTD,Textiles,INE268L01046
SHILCTECH,SHILCHAR TECHNOLOGIES LTD,Capital Goods,INE024F01011
SHIVAMAUTO,SHIVAM AUTOTECH LTD,Automobile and Auto Components,INE637H01024
SHIVAMILLS,SHIVA MILLS LTD,Textiles,INE644Y01017
SHREERAMA,SHREE RAMA MULTI-TECH LTD,Capital Goods,INE879A01019
SHREYANIND,SHREYANS INDUSTRIES LTD,Forest Materials,INE231C01019
SHRINGARMS,SHRINGAR HOUSE OF MANGALSUTRA LTD,Consumer Durables,INE1B3L01017
SIGIND,SIGNET INDUSTRIES LTD,Services,INE529F01035
SKFINDUS,SKF INDIA (INDUSTRIAL) LTD,Capital Goods,INE2J8701016
SMLMAH,SML MAHINDRA LTD,Capital Goods,INE294B01019
SMLT,SARTHAK METALS LTD,Capital Goods,INE017W01010
SNOWMAN,SNOWMAN LOGISTICS LTD,Services,INE734N01019
SOMICONVEY,SOMI CONVEYOR BELTINGS LTD,Capital Goods,INE323J01019
SPORTKING,SPORTKING INDIA LTD,Textiles,INE885H01029
SRD,SHANKAR LAL RAMPAL DYE-CHEM LTD,Chemicals,INE01NE01012
SREEL,SREELEATHERS LTD,Consumer Durables,INE099F01013
SRGHFL,SRG HOUSING FINANCE LTD,Financial Services,INE559N01010
SRTL,SHREE RAM TWISTEX LTD,Textiles,INE19GK01015
STALLION,STALLION INDIA FLUOROCHEMICALS LTD,Chemicals,INE0RYC01010
STEELCAS,STEELCAST LTD,Capital Goods,INE124E01038
SUNDRMBRAK,SUNDARAM BRAKE LININGS LTD,Automobile and Auto Components,INE073D01013
SUPRIYA,SUPRIYA LIFESCIENCE LTD,Healthcare,INE07RO01027
SURYODAY,SURYODAY SMALL FINANCE BANK LTD,Financial Services,INE428Q01011
SWARAJENG,SWARAJ ENGINES LTD,Capital Goods,INE277A01016
TAINWALCHM,TAINWALA CHEMICALS AND PLASTICS (INDIA) LTD,Capital Goods,INE123C01018
TARAPUR,TARAPUR TRANSFORMERS LTD,Capital Goods,INE747K01017
TASTYBITE,TASTY BITE EATABLES LTD,Fast Moving Consumer Goods,INE488B01017
THANGAMAYL,THANGAMAYIL JEWELLERY LTD,Consumer Durables,INE085J01014
THOMASCOTT,THOMAS SCOTT (INDIA) LTD,Textiles,INE480M01011
TIJARIA,TIJARIA POLYPIPES LTD,Capital Goods,INE440L01017
TIMEX,TIMEX GROUP INDIA LTD,Consumer Durables,INE064A01026
TIPSFILMS,TIPS FILMS LTD,"Media, Entertainment & Publication",INE0LQS01015
TIPSMUSIC,TIPS MUSIC LTD,"Media, Entertainment & Publication",INE716B01029
TMB,TAMILNAD MERCANTILE BANK LTD,Financial Services,INE668A01016
TNPL,TAMIL NADU NEWSPRINT  PAPERS LTD,Forest Materials,INE107A01015
TNTELE,TAMILNADU TELECOMMUNICATIONS LTD,Telecommunication,INE141D01018
TRACXN,TRACXN TECHNOLOGIES LTD,Services,INE0HMF01019
TTKHLTCARE,TTK HEALTHCARE LTD,Diversified,INE910C01018
TTL,T T LTD,Textiles,INE592B01024
UJJIVANSFB,UJJIVAN SMALL FINANCE BANK LTD,Financial Services,INE551W01018
UNIENTER,UNIPHOS ENTERPRISES LTD,Chemicals,INE037A01022
USK,UDAYSHIVAKUMAR INFRA LTD,Construction,INE0N0Y01013
UTKARSHBNK,UTKARSH SMALL FINANCE BANK LTD,Financial Services,INE735W01017
VENKEYS,VENKYS (INDIA) LTD,Fast Moving Consumer Goods,INE398A01010
VENUSPIPES,VENUS PIPES  TUBES LTD,Capital Goods,INE0JA001018
VESUVIUS,VESUVIUS INDIA LTD,Capital Goods,INE386A01023
VINEETLAB,VINEET LABORATORIES LTD,Healthcare,INE505Y01010
VINNY,VINNY OVERSEAS LTD,Textiles,INE01KI01027
VINYLINDIA,VINYL CHEMICALS (INDIA) LTD,Chemicals,INE250B01029
VIPCLOTHNG,VIP CLOTHING LTD,Textiles,INE450G01024
VISHWARAJ,VISHWARAJ SUGAR INDUSTRIES LTD,Fast Moving Consumer Goods,INE430N01022
VIVIDHA,VISAGAR POLYTEX LTD,Textiles,INE370E01029
VLEGOV,VL E-GOVERNANCE  IT SOLUTIONS LTD,Information Technology,INE03HW01020
VMART,V-MART RETAIL LTD,Consumer Services,INE665J01013
VMSTMT,VMS TMT LTD,Capital Goods,INE0SJA01013
VOLTAMP,VOLTAMP TRANSFORMERS LTD,Capital Goods,INE540H01012
VPRPL,VISHNU PRAKASH R PUNGLIA LTD,Construction,INE0AE001013
VRLLOG,VRL LOGISTICS LTD,Services,INE366I01010
VSTL,VIBHOR STEEL TUBES LTD,Capital Goods,INE0QTF01015
WAAREEINDO,INDOSOLAR LTD,Capital Goods,INE866K01023
WAKEFIT,WAKEFIT INNOVATIONS LTD,Consumer Durables,INE0E7301029
WALCHANNAG,WALCHANDNAGAR INDUSTRIES LTD,Capital Goods,INE711A01022
WELINV,WELSPUN INVESTMENTS AND COMMERCIALS LTD,Financial Services,INE389K01018
WELSPLSOL,WELSPUN SPECIALTY SOLUTIONS LTD,Capital Goods,INE731F01037
WONDERLA,WONDERLA HOLIDAYS LTD,Consumer Services,INE066O01014
ZENITHEXPO,ZENITH EXPORTS LTD,Consumer Durables,INE058B01018
