ticker,company_name,sector,tier,market_cap_cr,adtv_cr,is_fno_eligible,is_nifty500,isin
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,1,0,203.00233505380953,False,True,INE918I01026
BAJAJHCARE,,,6,0,5.605995821984127,False,False,
BAJAJHFL,Bajaj Housing Finance Ltd.,Financial Services,3,0,46.74948185833333,False,True,INE377Y01014
BAJAJHIND,,,6,0,19.124743134174608,False,False,
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,Financial Services,2,0,48.814380113492064,False,True,INE118A01012
BAJAJINDEF,,,6,0,1.3976395052380952,False,False,
BAJAJST,,,6,0,1.0531564664999997,False,False,
BAJEL,,,6,0,14.131541371634919,False,False,
BAJFINANCE,Bajaj Finance Ltd.,Financial Services,1,0,891.2604270274603,False,True,INE296A01032
BALAJEE,,,6,0,0.14410237223809522,False,False,
BALAJITELE,,,6,0,7.048576330047617,False,False,
BALAMINES,,,6,0,71.22280958349207,False,False,
BALAXI,,,6,0,0.35484267650000006,False,False,
BALKRISHNA,,,6,0,0.04847372957142858,False,False,
BALKRISIND,Balkrishna Industries Ltd.,Automobile and Auto Components,3,0,40.60994543253968,False,True,INE787D01026
BALMLAWRIE,,,6,0,4.102729586174603,False,False,
BALPHARMA,,,6,0,0.2857742592539683,False,False,
BALRAMCHIN,Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,4,0,43.32414180634921,False,True,INE119A01028
BALUFORGE,,,6,0,36.37362118642858,False,False,
BANARBEADS,,,6,0,0.03049270487301587,False,False,
BANARISUG,,,6,0,0.17542535904761908,False,False,
BANCOINDIA,,,6,0,15.341488634761909,False,False,
BANDHANBNK,Bandhan Bank Ltd.,Financial Services,4,0,254.8613253109682,False,True,INE545U01014
BANG,,,6,0,0.09945266431746032,False,False,
BANK10ADD,,,6,0,3.609543405063491,False,False,
BANKA,,,6,0,0.15470029175000002,False,False,
BANKADD,,,6,0,0.47774986649206336,False,False,
BANKBARODA,Bank of Baroda,Financial Services,2,0,329.79207113733315,False,True,INE028A01039
BANKBEES,,,6,0,73.91296153244444,False,False,
BANKBETA,,,6,0,5.292466454777778,False,False,
BANKBETF,,,6,0,0.23960394980952385,False,False,
BANKETF,,,6,0,1.5175975794920635,False,False,
BANKIETF,,,6,0,7.672067504126986,False,False,
BANKINDIA,Bank of India,Financial Services,3,0,155.73506122629558,False,True,INE084A01016
BANKNIFTY1,,,6,0,9.091150230428571,False,False,
BANKPSU,,,6,0,0.309244169063492,False,False,
BANSALWIRE,,,6,0,3.7605488109841274,False,False,
BANSWRAS,,,6,0,0.5685848807460318,False,False,
BASF,,,6,0,10.706314387936509,False,False,
BASML,,,6,0,0.4148561114920634,False,False,
BATAINDIA,Bata India Ltd.,Consumer Durables,4,0,31.810827495238094,False,True,INE176A01028
BATLIBOI,,,6,0,0.32972167414,False,False,
BAYERCROP,Bayer Cropscience Ltd.,Chemicals,4,0,12.057141310634918,False,True,INE462A01022
BBETF0432,,,6,0,0.37221167603174604,False,False,
BBL,,,6,0,15.58653809222222,False,False,
BBNPNBETF,,,6,0,0.014088518777777776,False,False,
BBNPPGOLD,,,6,0,0.5582199805555556,False,False,
BBOX,,,6,0,92.19168241888889,False,False,
BBTC,Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,4,0,9.045625266825397,False,True,INE050A01025
BBTCL,,,6,0,0.1714383369047619,False,False,
BCG,,,6,0,11.963309280655167,False,False,
BCLIND,,,6,0,4.973156173920635,False,False,
BCONCEPTS,,,6,0,0.2866274794285714,False,False,
BCPL,,,6,0,0.45575837861904755,False,False,
BDL,Bharat Dynamics Ltd.,Capital Goods,3,0,197.32722833920636,False,True,INE171Z01026
BEARDSELL,,,6,0,0.08994340231746033,False,False,
BECTORFOOD,,,6,0,14.99039279884127,False,False,
BEDMUTHA,,,6,0,0.07308913817241379,False,False,
BEEKAY,,,6,0,0.1010621686,False,False,
BEL,Bharat Electronics Ltd.,Capital Goods,1,0,582.5321290419048,False,True,INE263A01024
