ticker,bse_scripcode,company_name,isin,resolved_at
RBZJEWEL,544060,RBZ JEWELLERS LTD,INE0PEQ01016,2026-09-05
REGAAL,544485,REGAAL RESOURCES LTD,INE0MHO01029,2026-09-05
REGENCERAM,515018,REGENCY CERAMICS LTD,INE277C01012,2026-09-05
RELAXO,530517,RELAXO FOOTWEARS LTD,INE131B01039,2026-09-05
RELCHEMQ,503162,RELIANCE CHEMOTEX INDUSTRIES LTD,INE750D01016,2026-09-05
RHETAN,543590,RHETAN TMT LTD,INE0KKN01029,2026-09-05
RHL,543901,ROBUST HOTELS LTD,INE508K01013,2026-09-05
RKDL,533294,RAVI KUMAR DISTILLERIES LTD,INE722J01012,2026-09-05
ROLEXRINGS,543325,ROLEX RINGS LTD,INE645S01024,2026-09-05
ROML,533093,RAJ OIL MILLS LTD,INE294G01026,2026-09-05
RSL,544731,RAJPUTANA STAINLESS LTD,INE313L01016,2026-09-05
RUCHIRA,532785,RUCHIRA PAPERS LTD,INE803H01014,2026-09-05
SAHLIBHFI,511754,SHALIBHADRA FINANCE LTD,INE861D01011,2026-09-05
SAHYADRI,532841,SAHYADRI INDUSTRIES LTD,INE280H01015,2026-09-05
SALONA,590056,SALONA COTSPIN LTD,INE498E01010,2026-09-05
SALSTEEL,532604,SAL STEEL LTD,INE658G01014,2026-09-05
SANOFICONR,544250,SANOFI CONSUMER HEALTHCARE INDIA LTD,INE0UOS01011,2026-09-05
SATIA,539201,SATIA INDUSTRIES LTD,INE170E01023,2026-09-05
SCILAL,544142,SHIPPING CORPORATION OF INDIA LAND AND ASSETS LTD,INE0PB301013,2026-09-05
SCODATUBES,544411,SCODA TUBES LTD,INE090501011,2026-09-05
SCPL,540757,SHEETAL COOL PRODUCTS LTD,INE501Y01019,2026-09-05
SEDEMAC,544723,SEDEMAC MECHATRONICS LTD,INE00XB01019,2026-09-05
SGFIN,539199,SG FINSERVE LTD,INE618R01015,2026-09-05
SHANTIGEAR,522034,SHANTHI GEARS LTD,INE631A01022,2026-09-05
SHANTIGOLD,544459,SHANTI GOLD INTERNATIONAL LTD,INE06ZD01017,2026-09-05
SHEKHAWATI,533301,SHEKHAWATI INDUSTRIES LTD,INE268L01046,2026-09-05
SHILCTECH,531201,SHILCHAR TECHNOLOGIES LTD,INE024F01011,2026-09-05
SHIVAMAUTO,532776,SHIVAM AUTOTECH LTD,INE637H01024,2026-09-05
SHIVAMILLS,540961,SHIVA MILLS LTD,INE644Y01017,2026-09-05
SHREERAMA,532310,SHREE RAMA MULTI-TECH LTD,INE879A01019,2026-09-05
SHREYANIND,516016,SHREYANS INDUSTRIES LTD,INE231C01019,2026-09-05
SHRINGARMS,544512,SHRINGAR HOUSE OF MANGALSUTRA LTD,INE1B3L01017,2026-09-05
SIGIND,512131,SIGNET INDUSTRIES LTD,INE529F01035,2026-09-05
SKFINDUS,544572,SKF INDIA (INDUSTRIAL) LTD,INE2J8701016,2026-09-05
SMLMAH,505192,SML MAHINDRA LTD,INE294B01019,2026-09-05
SMLT,540393,SARTHAK METALS LTD,INE017W01010,2026-09-05
SNOWMAN,538635,SNOWMAN LOGISTICS LTD,INE734N01019,2026-09-05
SOMICONVEY,533001,SOMI CONVEYOR BELTINGS LTD,INE323J01019,2026-09-05
SPORTKING,539221,SPORTKING INDIA LTD,INE885H01029,2026-09-05
SRD,542232,SHANKAR LAL RAMPAL DYE-CHEM LTD,INE01NE01012,2026-09-05
SREEL,535601,SREELEATHERS LTD,INE099F01013,2026-09-05
SRGHFL,534680,SRG HOUSING FINANCE LTD,INE559N01010,2026-09-05
