ticker,company_name,sector,screener_url
KPIGREEN,KPI Green Energy Ltd,Power,/company/KPIGREEN/consolidated/
WESTLIFE,Westlife Foodworld Ltd,Consumer Services,/company/WESTLIFE/consolidated/
BAJAJCON,Bajaj Consumer Care Ltd,Fast Moving Consumer Goods,/company/BAJAJCON/consolidated/
SAFARI,Safari Industries (India) Ltd,Consumer Durables,/company/SAFARI/consolidated/
MAHLIFE,Mahindra Lifespace Developers Ltd,Realty,/company/MAHLIFE/consolidated/
POWERICA,Powerica Ltd,Capital Goods,/company/POWERICA/consolidated/
GMRP&UI,GMR Power & Urban Infra Ltd,Power,/company/GMRP&UI/consolidated/
SIGMAADV,Sigma Advanced System Ltd,Capital Goods,/company/SIGMAADV/consolidated/
SGMART,SG Mart Ltd,Metals & Mining,/company/SGMART/consolidated/
NESCO,NESCO Ltd,Services,/company/NESCO/consolidated/
BIRLACORPN,Birla Corporation Ltd,Construction Materials,/company/BIRLACORPN/consolidated/
GAEL,Gujarat Ambuja Exports Ltd,Fast Moving Consumer Goods,/company/GAEL/consolidated/
REDTAPE,Redtape Ltd,Consumer Durables,/company/REDTAPE/consolidated/
GARFIBRES,Garware Technical Fibres Ltd,Textiles,/company/GARFIBRES/consolidated/
JKLAKSHMI,JK Lakshmi Cement Ltd,Construction Materials,/company/JKLAKSHMI/consolidated/
EBGNG,GNG Electronics Ltd,Information Technology,/company/EBGNG/consolidated/
AXISCADES,AXISCADES Technologies Ltd,Capital Goods,/company/AXISCADES/consolidated/
PRICOLLTD,Pricol Ltd,Automobile and Auto Components,/company/PRICOLLTD/consolidated/
SUVEN,Suven Life Sciences Ltd,Healthcare,/company/SUVEN/consolidated/
DBL,Dilip Buildcon Ltd,Construction,/company/DBL/consolidated/
PNGJL,P N Gadgil Jewellers Ltd,Consumer Durables,/company/PNGJL/consolidated/
GPPL,Gujarat Pipavav Port Ltd,Services,/company/GPPL/consolidated/
LOTUSDEV,Sri Lotus Developers & Realty Ltd,Realty,/company/LOTUSDEV/consolidated/
EPL,EPL Ltd,Capital Goods,/company/EPL/consolidated/
SHAKTIPUMP,Shakti Pumps (India) Ltd,Capital Goods,/company/SHAKTIPUMP/consolidated/
RCF,Rashtriya Chemicals & Fertilizers Ltd,Chemicals,/company/RCF/consolidated/
TCI,Transport Corporation of India Ltd,Services,/company/TCI/consolidated/
BENGALASM,Bengal & Assam Company Ltd,Financial Services,/company/BENGALASM/consolidated/
KRN,KRN Heat Exchanger and Refrigeration Ltd,Capital Goods,/company/KRN/consolidated/
TANLA,Tanla Platforms Ltd,Information Technology,/company/TANLA/consolidated/
SJS,S J S Enterprises Ltd,Automobile and Auto Components,/company/SJS/consolidated/
OMNI,Omnitech Engineering Ltd,Capital Goods,/company/OMNI/consolidated/
