legacy_report_file,legacy_run_id,legacy_strategy_key,derived_strategy_code,derived_filter_preset,new_strategy_id,rank_band_id,top_n,lookback_months,rebalance_cadence_days,skip_months,rank_method,crash_regime_enabled,vol_scaling_mode,weight_method,sharpe_ratio,cagr,max_drawdown,integrity_passed,trade_log_path
orchestrator_phaseB_r15_job14.json,orch_momentum_20260903_065657_e790e3e8,momentum:R1_2_1_75_lb6mo,R01,all_risk,R01_M2_top15_lb6mo_10d_allrisk,2,15,6,10,0,trailing_return,False,,,,0.03767247462461465,-0.4094329701793807,True,/home/amit/projects/AlphaLens/backtest/reports/trade_log_orch_momentum_20260903_065657_e790e3e8.csv
orchestrator_phaseB_r15_job140.json,orch_momentum_20260903_135239_155ffce0,momentum:R1_9_276_550_lb12mo,R01,all_risk,R01_M9_top15_lb12mo_10d_allrisk,9,15,12,10,0,trailing_return,False,,,,0.13792589043569037,-0.48747765566943707,True,/home/amit/projects/AlphaLens/backtest/reports/trade_log_orch_momentum_20260903_135239_155ffce0.csv
orchestrator_phaseB_r15_job141.json,orch_momentum_20260903_135359_c98a3cb7,momentum:R1_9_276_550_lb12mo,R01,all_risk,R01_M9_top7_lb12mo_21d_allrisk,9,7,12,21,0,trailing_return,False,,,,0.1161602347588786,-0.5263455354751904,True,/home/amit/projects/AlphaLens/backtest/reports/trade_log_orch_momentum_20260903_135359_c98a3cb7.csv
orchestrator_phaseB_r15_job142.json,orch_momentum_20260903_135512_cc7d09bb,momentum:R1_9_276_550_lb12mo,R01,all_risk,R01_M9_top10_lb12mo_21d_allrisk,9,10,12,21,0,trailing_return,False,,,,0.12089137903413416,-0.5990703724889094,True,/home/amit/projects/AlphaLens/backtest/reports/trade_log_orch_momentum_20260903_135512_cc7d09bb.csv
orchestrator_phaseB_r15_job143.json,orch_momentum_20260903_135602_7e78c1e0,momentum:R1_9_276_550_lb12mo,R01,all_risk,R01_M9_top15_lb12mo_21d_allrisk,9,15,12,21,0,trailing_return,False,,,,0.10495759310854735,-0.5338662100828497,True,/home/amit/projects/AlphaLens/backtest/reports/trade_log_orch_momentum_20260903_135602_7e78c1e0.csv
orchestrator_phaseB_r15_job144.json,orch_momentum_20260903_135703_84cd238e,momentum:R1_10_301_500_lb3mo,R01,all_risk,R01_M10_top7_lb3mo_5d_allrisk,10,7,3,5,0,trailing_return,False,,,,0.04309577378915397,-0.7235543567329494,True,/home/amit/projects/AlphaLens/backtest/reports/trade_log_orch_momentum_20260903_135703_84cd238e.csv
orchestrator_phaseB_r15_job145.json,orch_momentum_20260903_135901_57f81aba,momentum:R1_10_301_500_lb3mo,R01,all_risk,R01_M10_top10_lb3mo_5d_allrisk,10,10,3,5,0,trailing_return,False,,,,0.07517175589790193,-0.5739682309888463,True,/home/amit/projects/AlphaLens/backtest/reports/trade_log_orch_momentum_20260903_135901_57f81aba.csv
orchestrator_phaseB_r15_job146.json,orch_momentum_20260903_140146_9a820329,momentum:R1_10_301_500_lb3mo,R01,all_risk,R01_M10_top15_lb3mo_5d_allrisk,10,15,3,5,0,trailing_return,False,,,,0.05095931498991213,-0.5392929717016366,True,/home/amit/projects/AlphaLens/backtest/reports/trade_log_orch_momentum_20260903_140146_9a820329.csv
orchestrator_phaseB_r15_job147.json,orch_momentum_20260903_140540_794553a9,momentum:R1_10_301_500_lb3mo,R01,all_risk,R01_M10_top7_lb3mo_10d_allrisk,10,7,3,10,0,trailing_return,False,,,,0.12264668987513727,-0.6173724335645323,True,/home/amit/projects/AlphaLens/backtest/reports/trade_log_orch_momentum_20260903_140540_794553a9.csv
orchestrator_phaseB_r15_job148.json,orch_momentum_20260903_140754_db73d682,momentum:R1_10_301_500_lb3mo,R01,all_risk,R01_M10_top10_lb3mo_10d_allrisk,10,10,3,10,0,trailing_return,False,,,,0.15658856517715236,-0.4620876250718457,True,/home/amit/projects/AlphaLens/backtest/reports/trade_log_orch_momentum_20260903_140754_db73d682.csv
