ticker,max_gap_pct,num_gaps,avg_gap_pct,action_types,priority_score
KIRLPNU,50.5,1,50.5,e=2026-08-18 00,77.75
IVC,32.4,14,10.707142857142857,"e=2006-06-23 00,e=2008-07-28 00,e=2009-06-30 00,e=2009-09-16 00,e=2011-07-13 00,e=2012-07-10 00,e=2013-07-08 00,e=2014-07-30 00,e=2015-08-05 00,e=2016-07-29 00,e=2019-09-23 00,e=2020-11-02 00,e=2023-08-17 00,e=2025-11-21 00",76.6
GLODYNE,47.8,2,26.75,"e=2009-08-20 00,e=2011-02-10 00",75.69999999999999
MPSLTD,42.9,5,14.76,"e=2007-01-31 00,e=2008-11-05 00,e=2013-02-26 00,e=2019-11-06 00,e=2025-08-13 00",74.35
ANANTRAJ,43.9,4,17.475,"e=2007-10-08 00,e=2007-12-19 00,e=2009-08-07 00,e=2020-10-06 00",73.85
SHRENUJ,46.4,2,25.849999999999998,"e=2006-09-07 00,e=2014-07-15 00",73.6
NIRMA,47.7,1,47.7,e=2007-03-14 00,73.55000000000001
BATLIBOI,46.7,1,46.7,e=2007-09-26 00,72.05000000000001
ANTGRAPHIC,33.3,6,13.200000000000001,"e=2006-01-06 00,e=2007-09-18 00,e=2008-09-19 00,e=2011-09-21 00,e=2015-09-21 00,e=2016-09-12 00",61.949999999999996
ALICON,33.3,5,13.62,"e=2008-09-23 00,e=2010-04-21 00,e=2011-09-22 00,e=2020-03-23 00,e=2022-09-19 00",59.949999999999996
BANCOINDIA,29.4,7,11.442857142857141,"e=2007-11-23 00,e=2014-02-20 00,e=2016-09-01 00,e=2020-03-18 00,e=2022-09-06 00,e=2024-12-30 00,e=2025-02-14 00",58.099999999999994
SANOFI,32.2,4,12.850000000000001,"e=2008-07-29 00,e=2022-04-12 00,e=2023-04-28 00,e=2024-06-13 00",56.300000000000004
SUDARCOLOR,24.8,9,10.200000000000001,"e=2007-04-03 00,e=2008-03-31 00,e=2009-04-09 00,e=2009-07-29 00,e=2012-04-12 00,e=2015-01-19 00,e=2017-08-03 00,e=2020-07-16 00,e=2021-02-18 00",55.2
TATACOMM,34.8,1,34.8,e=2019-09-17 00,54.199999999999996
PTL,20.0,12,8.4,"e=2007-07-12 00,e=2008-06-27 00,e=2009-06-29 00,e=2017-03-27 00,e=2019-07-17 00,e=2020-03-04 00,e=2021-07-01 00,e=2021-12-23 00,e=2022-06-30 00,e=2023-07-14 00,e=2024-07-12 00,e=2025-07-11 00",54.0
BIRLACOT,33.3,2,23.799999999999997,"e=2011-09-14 00,e=2014-09-24 00",53.949999999999996
5PAISA,33.1,2,21.55,"e=2019-05-28 00,e=2021-06-03 00",53.650000000000006
KEEPLEARN,33.9,1,33.9,e=2024-05-14 00,52.849999999999994
INGERRAND,28.4,5,12.68,"e=2006-06-07 00,e=2008-07-30 00,e=2014-08-22 00,e=2018-05-24 00,e=2019-11-20 00",52.599999999999994
CNOVAPETRO,32.0,2,20.65,"e=2016-10-24 00,e=2017-09-18 00",52.0
NMDC,20.2,10,8.28,"e=2008-05-21 00,e=2014-02-17 00,e=2016-02-24 00,e=2019-03-22 00,e=2019-08-22 00,e=2020-02-18 00,e=2021-12-14 00,e=2022-02-17 00,e=2022-10-27 00,e=2026-02-13 00",50.3
GHCL,21.3,9,8.5,"e=2006-06-08 00,e=2009-12-22 00,e=2010-08-31 00,e=2011-08-24 00,e=2012-09-06 00,e=2013-09-12 00,e=2020-03-24 00,e=2022-06-22 00,e=2025-11-14 00",49.95
BALKRISHNA,27.4,4,13.05,"e=2015-08-13 00,e=2016-09-01 00,e=2019-08-29 00,e=2024-03-15 00",49.099999999999994
JYOTISTRUC,26.0,5,14.2,"e=2006-07-28 00,e=2007-06-19 00,e=2024-03-21 00,e=2025-02-10 00",49.0
GATECHDVR,31.3,1,31.3,e=2024-07-16 00,48.95
ZENITHSTL,24.4,6,11.383333333333333,"e=2010-03-04 00,e=2010-07-07 00,e=2010-08-11 00,e=2016-09-15 00,e=2018-09-19 00,e=2019-09-19 00",48.599999999999994
MOHITIND,28.2,3,17.466666666666665,"e=2013-09-20 00,e=2016-03-30 00,e=2017-08-01 00",48.3
VSTIND,18.8,10,8.48,"e=2024-09-06 00,e=2007-07-12 00,e=2008-07-11 00,e=2009-07-10 00,e=2010-07-12 00,e=2014-07-28 00,e=2015-08-04 00,e=2018-09-18 00,e=2025-07-03 00,e=2026-07-10 00",48.2
ASHOKLEY,25.2,5,9.9,"e=2007-03-28 00,e=2008-07-16 00,e=2013-07-04 00,e=2019-07-23 00,e=2020-03-19 00",47.8
PGIL,29.1,2,17.150000000000002,"e=2007-08-16 00,e=2014-05-30 00",47.650000000000006
FCSSOFT,25.0,5,15.4,"e=2009-10-15 00,e=2010-02-26 00,e=2010-09-21 00,e=2018-09-17 00,e=2019-11-05 00",47.5
TVTODAY,25.0,5,12.3,"e=2013-08-06 00,e=2014-08-06 00,e=2019-10-31 00,e=2023-02-13 00,e=2024-09-11 00",47.5
KOTHARIPRO,26.8,3,12.5,"e=2008-12-03 00,e=2010-09-09 00,e=2011-09-14 00",46.2
HARRMALAYA,27.9,2,16.8,"e=2010-08-31 00,e=2013-09-12 00",45.849999999999994
VIKASECO,26.4,3,13.966666666666667,"e=2018-11-19 00,e=2021-06-09 00,e=2021-11-24 00",45.599999999999994
MHLXMIRU,27.5,2,16.45,"e=2022-09-22 00,e=2024-04-19 00",45.25
RADIOCITY,27.2,2,23.5,"e=2020-03-12 00,e=2023-01-13 00",44.8
ZEEL,28.5,1,28.5,e=2007-02-12 00,44.75
JINDALSTEL,26.8,2,16.8,"e=2008-01-21 00,e=2014-07-11 00",44.2
LCCINFOTEC,20.0,7,11.242857142857144,"e=2007-09-20 00,e=2010-09-17 00,e=2011-09-19 00,e=2012-09-17 00,e=2014-09-12 00,e=2016-09-21 00,e=2017-12-20 00",44.0
