ticker,gap_pct,action_type,ex_date,ratio,severity
MAHESHWARI,19.9,e=2020-10-13 00,2020-10-13,,critical
VAISHALI,19.9,e=2024-10-15 00,2024-10-15,,critical
VAISHALI,19.9,e=2024-10-15 00,2024-10-15,,critical
SHAHALLOYS,19.9,e=2019-09-11 00,2019-09-11,,critical
BHARATRAS,19.9,e=2016-09-20 00,2016-09-20,,critical
SAKUMA,19.9,e=2024-08-09 00,2024-08-09,,critical
RAJMET,19.9,e=2022-11-30 00,2022-11-30,,critical
JUBLINDS,19.8,e=2016-08-18 00,2016-08-18,,critical
HBSTOCK,19.8,e=2014-09-11 00,2014-09-11,,critical
RADIOCITY,19.8,e=2023-01-13 00,2023-01-13,,critical
GRASIM,19.7,e=2017-07-19 00,2017-07-19,,critical
UFO,19.7,e=2020-03-11 00,2020-03-11,,critical
GOLDIAM,19.6,e=2026-07-10 00,2026-07-10,,critical
RAMASTEEL,19.6,e=2024-03-19 00,2024-03-19,,critical
NEPCMICON,19.6,e=2012-09-20 00,2012-09-20,,critical
VARDHACRLC,19.5,e=2021-10-28 00,2021-10-28,,critical
PRABHAT,19.5,e=2016-09-21 00,2016-09-21,,critical
UMESLTD,19.4,e=2023-09-06 00,2023-09-06,,critical
BHARATGEAR,19.4,e=2022-09-27 00,2022-09-27,,critical
INTENTECH,19.3,e=2022-09-13 00,2022-09-13,,critical
GINNIFILA,19.3,e=2013-08-01 00,2013-08-01,,critical
INFOMEDIA,19.3,e=2012-06-12 00,2012-06-12,,critical
AARON,19.3,e=2022-09-01 00,2022-09-01,,critical
VISHNU,19.2,e=2020-08-06 00,2020-08-06,,critical
SUPERSPIN,19.2,e=2013-08-29 00,2013-08-29,,critical
PARSVNATH,19.2,e=2023-09-22 00,2023-09-22,,critical
FILATFASH,19.2,e=2024-08-09 00,2024-08-09,,critical
THOMASCOOK,19.2,e=2009-05-22 00,2009-05-22,,critical
SURANAT&P,19.2,e=2014-11-25 00,2014-11-25,,critical
PRIVISCL,19.2,e=2020-08-21 00,2020-08-21,,critical
LML,19.2,e=2013-09-13 00,2013-09-13,,critical
TANLA,19.1,e=2013-09-16 00,2013-09-16,,critical
STCINDIA,19.1,e=2019-09-13 00,2019-09-13,,critical
NAZARA,19.0,e=2022-06-24 00,2022-06-24,,critical
ZENSARTECH,18.9,e=2021-09-15 00,2021-09-15,,critical
ALPHAGEO,18.9,e=2010-09-17 00,2010-09-17,,critical
HINDUJAFO,18.9,e=2010-02-03 00,2010-02-03,,critical
STAR,18.8,e=2014-10-16 00,2014-10-16,,critical
VSTIND,18.8,e=2024-09-06 00,2024-09-06,,critical
SHARDACROP,18.7,e=2022-07-25 00,2022-07-25,,critical
MAGADSUGAR,18.7,e=2018-09-14 00,2018-09-14,,critical
SWSOLAR,18.6,e=2020-02-24 00,2020-02-24,,critical
SUBROS,18.6,e=2007-11-20 00,2007-11-20,,critical
KAMDHENU,18.5,e=2016-09-19 00,2016-09-19,,critical
MUTHOOTFIN,18.5,e=2020-03-23 00,2020-03-23,,critical
CENTUM,18.5,e=2018-09-06 00,2018-09-06,,critical
WILLAMAGOR,18.4,e=2013-07-23 00,2013-07-23,,critical
WATERBASE,18.3,e=2019-09-12 00,2019-09-12,,critical
VSTTILLERS,18.3,e=2021-08-18 00,2021-08-18,,critical
RAJRAYON,18.3,e=2013-03-04 00,2013-03-04,,critical
FMGOETZE,18.3,e=2026-09-04 00,2026-09-04,,critical
PGEL,18.3,e=2018-09-19 00,2018-09-19,,critical
INFINITE,18.2,e=2014-09-11 00,2014-09-11,,critical
PARASPETRO,18.2,e=2011-09-22 00,2011-09-22,,critical
DHUNINV,18.2,e=2018-08-01 00,2018-08-01,,critical
NIPPOBATRY,18.2,e=2022-09-19 00,2022-09-19,,critical
KSL,18.2,e=2020-03-12 00,2020-03-12,,critical
EICHERMOT,18.1,e=2008-05-26 00,2008-05-26,,critical
STCINDIA,18.0,e=2007-09-19 00,2007-09-19,,critical
PNBHOUSING,18.0,e=2025-08-01 00,2025-08-01,,critical
MANAKSIA,18.0,e=2020-03-05 00,2020-03-05,,critical
CAPACITE,18.0,e=2019-08-20 00,2019-08-20,,critical
KRBL,17.9,e=2010-02-10 00,2010-02-10,,critical
RBLBANK,17.9,e=2020-03-23 00,2020-03-23,,critical
SRHHYPOLTD,17.9,e=2016-09-20 00,2016-09-20,,critical
TVTODAY,17.9,e=2013-08-06 00,2013-08-06,,critical
KRBL,17.9,e=2010-02-10 00,2010-02-10,,critical
PRAKASHSTL,17.8,e=2015-09-21 00,2015-09-21,,critical
GEEKAYWIRE,17.8,e=2022-02-24 00,2022-02-24,,critical
PROVOGE,17.8,e=2013-09-19 00,2013-09-19,,critical
RUSHIL,17.8,e=2016-03-17 00,2016-03-17,,critical
KSERASERA,17.6,e=2015-03-30 00,2015-03-30,,critical
SIGROUPIND,17.6,e=2008-07-07 00,2008-07-07,,critical
BHAGYNAGAR,17.6,e=2015-09-23 00,2015-09-23,,critical
