ticker,gap_count
GOKEX,3
HINDUJAFO,3
GOODYEAR,3
GRAPHITE,3
HINDNATGLS,3
GREENLAM,3
GSFC,3
GTLINFRA,3
HINDMOTORS,3
GVT&D,3
KSERASERA,3
INDIABULLS,3
SALSTEEL,3
ORICONENT,3
ORBTEXP,3
RUBYMILLS,3
OMINFRAL,3
OMAXAUTO,3
SABTN,3
SADHNANIQ,3
SAIL,3
NOCIL,3
NITINFIRE,3
SAKUMA,3
NITCO,3
SALASAR,3
SAMBANDAM,3
STEELCITY,3
NEPCMICON,3
SANDHAR,3
NECLIFE,3
NCC,3
NAVINFLUOR,3
SANWARIA,3
SARDAEN,3
NANDAN,3
NAHARINDUS,3
NAGREEKCAP,3
MVL,3
MTNL,3
MRF,3
ORIENTHOT,3
ORIENTPPR,3
RSSOFTWARE,3
RPPL,3
RAIN,3
RAMANEWS,3
QUINTEGRA,3
RAMCOIND,3
QUICKHEAL,3
RAMCOSYS,3
PVP,3
RAYMOND,3
RBL,3
PREMIER,3
PRAXIS,3
PRAJIND,3
POLARIND,3
REIAGROLTD,3
PNC,3
RELCAPITAL,3
REMSONSIND,3
PFS,3
PFIZER,3
PETRONET,3
PENINLAND,3
RITES,3
PEARLPOLY,3
PANCARBON,3
ROSSELLIND,3
PANACEABIO,3
RPGLIFE,3
MPHASIS,3
MOTILALOFS,3
MOTHERSON,3
SMCGLOBAL,3
KAMDHENU,3
SMSPHARMA,3
SOLARINDS,3
SOMANYCERA,3
SOMATEX,3
JPPOWER,3
JOCIL,3
SOTL,3
JKTYRE,3
SPECTACLE,3
SPLIL,3
JBMA,3
SPORTKING,3
SRF,3
SRHHYPOLTD,3
SRSLTD,3
IOLCP,3
IOB,3
INTELLECT,3
INSECTICID,3
STAR,3
INFY,3
INFOMEDIA,3
INDRAMEDCO,3
INDOWIND,3
INDOTHAI,3
INDOTECH,3
SMLMAH,3
SIRPAPER,3
MOLDTKPAC,3
KKCL,3
MOHITIND,3
SELMCL,3
MCDHOLDING,3
MARKSANS,3
MARALOVER,3
MANINFRA,3
MANGLMCEM,3
MALUPAPER,3
SHANTIGEAR,3
SHARDACROP,3
SHAREINDIA,3
MAHABANK,3
MADHAV,3
LYKALABS,3
LUMAXAUTO,3
LOTUSEYE,3
LLOYDSENGG,3
LLOYDFIN,3
LGBFORGE,3
SHREERAMA,3
SHREYANIND,3
KUANTUM,3
KSOILS,3
GEEKAYWIRE,3
KRBL,3
KOTHARIPRO,3
KNRCON,3
TCIFINANCE,3
RAJSREESUG,3
TCS,3
EICHERMOT,3
DPWIRES,3
ACROPETAL,3
BALPHARMA,3
DUCON,3
BIRLAPOWER,3
DYNAMATECH,3
ACE,3
EASEMYTRIP,3
TNPL,3
VALUEIND,3
EASUNREYRL,3
ECLERX,3
BAJAJHLDNG,3
BAJAJHIND,3
VIKASECO,3
TIIL,3
EIDPARRY,3
EIHAHOTELS,3
EIHOTEL,3
UEL,3
ALKALI,3
DATAMATICS,3
BAGFILMS,3
VAISHALI,3
BOMDYEING,3
TIMKEN,3
EMKAY,3
TIMETECHNO,3
BONGAIREFN,3
BPCL,3
BANARISUG,3
BANG,3
VIJIFIN,3
DONEAR,3
AEGISLOG,3
DBREALTY,3
BFINVEST,3
BHARATFORG,3
ALPHAGEO,3
DCW,3
DEEPAKNTR,3
VGL,3
BEARDSELL,3
BBTC,3
VGUARD,3
CUPID,3
BILENERGY,3
CUMMINSIND,3
CUBEXTUB,3
TRICOM,3
BASML,3
DHARSUGAR,3
CRESTANI,3
ANDHRAPAP,3
UPERGANGES,3
ADROITINFO,3
ADOR,3
AGI,3
BANKRAJAS,3
ANIKINDS,3
DISHTV,3
DLF,3
UBHOLDINGS,3
ABREL,3
TITAN,3
AMBER,3
THOMASCOOK,3
A2ZINFRA,3
AURUM,3
ASHAPURMIN,3
EXCELCROP,3
THANGAMAYL,3
ASHIMASYN,3
APLLTD,3
GALLISPAT,3
CANDC,3
GALLANTT,3
ABB,3
APOLLOTYRE,3
VLSFINANCE,3
AJANTPHARM,3
FARMAXIND,3
ASTRAL,3
XCHANGING,3
FIRSTLEASE,3
ASPINWALL,3
FMGOETZE,3
TEXINFRA,3
WELENT,3
ZODJRDMKJ,3
AUSTRAL,3
VSTTILLERS,3
VISAKAIND,3
TDPOWERSYS,3
ALANKIT,3
AKSHOPTFBR,3
CASTROLIND,3
