ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank
GESHIP,55,2023-03-02,535.7924371672972,2023-04-05,576.5347047718245,
AJOONI,5333,2023-04-05,5.6,2023-04-06,5.1,
ASAL,87,2023-04-05,341.25,2023-04-06,326.15,
ARCHIDPLY,476,2023-04-05,62.7,2023-04-10,59.75,
3IINFOLTD,837,2023-04-05,35.65,2023-04-11,33.85,
DGCONTENT,1821,2023-04-05,16.4,2023-04-11,14.95,
ATULAUTO,74,2023-04-05,401.4,2023-04-25,370.85,
AXITA,488,2023-04-05,61.2,2023-04-27,81.25,
AARVI,229,2023-04-05,129.9,2023-05-08,124.3,
BHARATGEAR,253,2023-04-05,117.8,2023-05-09,118.85,
GANECOS,32,2023-04-05,924.55,2023-05-09,1071.2,
BSL,151,2023-05-09,196.85,2023-05-11,188.25,
ELGIRUBCO,713,2023-05-09,41.9,2023-05-11,40.0,
AYMSYNTEX,380,2023-05-09,78.6,2023-05-15,74.45,
ALANKIT,3064,2023-05-09,9.75,2023-05-17,9.35,
GREAVESCOT,201,2023-05-09,148.25,2023-05-29,133.05,
EMUDHRA,90,2023-05-09,328.75,2023-05-31,431.7,
BBL,20,2023-05-09,1445.925,2023-06-07,1573.325,
BSOFT,100,2023-05-09,297.4739637714632,2023-06-07,328.5482918604855,
CARBORUNIV,26,2023-05-09,1131.8637618962096,2023-06-07,1183.7294769228065,
FSL,246,2023-05-09,121.20777616568067,2023-06-07,124.10839379851964,
CCHHL,3648,2023-06-07,8.25,2023-06-08,7.7,
ARENTERP,674,2023-06-07,44.6,2023-06-09,42.45,
DBSTOCKBRO,1086,2023-06-07,27.7,2023-06-09,26.2,
ALKALI,227,2023-06-07,132.15,2023-06-14,125.35,
ARIHANTCAP,750,2023-06-07,40.1,2023-06-14,37.75,
ASAHISONG,132,2023-06-07,227.75,2023-06-19,217.85,
CRISIL,7,2023-06-07,3862.2232794846987,2023-06-22,3701.5229895201633,
DIGISPICE,1450,2023-06-07,20.75,2023-07-07,21.0,
BBOX,170,2023-07-07,174.95,2023-07-10,167.8,
GENUSPAPER,1700,2023-07-07,17.5,2023-07-10,16.6,
AVALON,47,2023-07-07,627.15,2023-07-26,588.05,
BHARATGEAR,227,2023-07-07,130.85,2023-08-07,128.1,
CEATLTD,12,2023-07-07,2390.398362877348,2023-08-07,2388.9123820056698,
COASTCORP,613,2023-07-07,48.52,2023-08-07,47.88,
DEEPINDS,151,2023-07-07,196.8,2023-08-07,240.45,
ERIS,41,2023-07-07,713.9437045917992,2023-08-07,819.1288718472372,
GIPCL,270,2023-07-07,109.95,2023-08-07,120.95,
GRANULES,96,2023-07-07,309.47870180948564,2023-08-07,319.57301127704966,
AURUM,212,2023-08-07,141.15,2023-08-08,135.25,
BIRLACABLE,133,2023-08-07,225.35,2023-08-08,214.8,
CCHHL,3508,2023-08-07,8.55,2023-08-08,8.2,
ELGIRUBCO,541,2023-08-07,55.45,2023-08-08,51.9,
DBSTOCKBRO,1134,2023-08-07,26.45,2023-08-10,35.75,
DBREALTY,306,2023-08-07,98.0,2023-08-17,134.45,
DRCSYSTEMS,731,2023-08-07,41.0,2023-08-25,39.2,
DPABHUSHAN,86,2023-08-07,348.0,2023-08-31,456.8,
EVERESTIND,28,2023-08-07,1041.6,2023-09-06,1211.65,
FACT,56,2023-09-06,544.4533422717464,2023-09-07,512.4090860629836,
3IINFOLTD,741,2023-09-06,41.55,2023-09-08,39.15,
ARTEMISMED,215,2023-09-06,143.0,2023-09-08,135.4,
GOKUL,822,2023-09-06,37.5,2023-09-08,34.85,
ASAL,68,2023-09-06,447.95,2023-09-12,429.8,
ASTRON,877,2023-09-06,35.15,2023-09-12,33.4,
AVADHSUGAR,45,2023-09-06,673.35,2023-09-12,623.3,
GRMOVER,439,2023-09-06,70.16666666666666,2023-09-12,66.35,
CROWN,695,2023-06-07,43.3,2023-09-29,57.45,
ANDHRAPAP,287,2023-09-06,107.27000000000001,2023-10-09,114.07000000000001,
EIDPARRY,59,2023-09-06,518.025957941563,2023-10-09,515.9925386715196,
ARROWGREEN,73,2023-10-09,415.4,2023-10-10,387.0,
DBSTOCKBRO,878,2023-10-09,34.95,2023-10-11,32.55,
AHLADA,241,2023-10-09,127.05,2023-10-12,119.6,
BBTCL,114,2023-10-09,267.3,2023-10-13,251.7,
EIMCOELECO,28,2023-10-09,1091.2,2023-10-17,1528.35,
ARVEE,247,2023-10-09,123.9,2023-10-19,118.1,
ADVANIHOTR,300,2023-10-09,102.05,2023-10-23,94.7,
CARERATING,32,2023-10-09,934.1429848078641,2023-10-23,896.0632707774798,
GODREJIND,45,2023-10-09,678.25,2023-10-23,617.75,
DOLLAR,66,2023-11-08,459.2,2023-11-10,438.4,
GENUSPAPER,1390,2023-11-08,22.0,2023-11-13,20.6,
GLOBAL,292,2023-11-08,104.46,2023-11-13,99.5,
COMPUSOFT,1307,2023-11-08,23.4,2023-11-24,36.05,
AUTOAXLES,12,2023-11-08,2420.85,2023-11-28,2304.3,
ARIHANTSUP,148,2023-11-08,205.6,2023-12-04,270.95,
ALPA,356,2023-11-08,85.75,2023-12-08,95.45,
BANCOINDIA,58,2023-11-08,519.55,2023-12-08,550.65,
CSLFINANCE,83,2023-11-08,366.5,2023-12-08,410.65,
DVL,95,2023-11-08,318.95,2023-12-08,326.8,
BALKRISHNA,809,2023-12-08,38.85,2023-12-11,36.65,
BCG,1455,2023-12-08,21.6,2023-12-12,19.95,
ALOKINDS,1349,2023-12-08,23.3,2023-12-20,20.85,
BALMLAWRIE,182,2023-12-08,171.85,2023-12-22,224.9,
BSHSL,121,2023-12-08,258.8,2024-01-09,274.35,
FCSSOFT,8274,2023-12-08,3.8,2024-01-09,4.55,
GMRAIRPORT,456,2023-12-08,68.9,2024-01-09,84.8,
BANARBEADS,298,2024-01-09,106.9,2024-01-12,101.3,
CGCL,150,2024-01-09,212.86078681352484,2024-01-15,202.9408427654123,
AYMSYNTEX,387,2024-01-09,82.5,2024-02-06,78.7,
APOLSINHOT,15,2024-01-09,1996.65,2024-02-08,2130.05,
ASHOKA,197,2024-01-09,161.85,2024-02-08,181.0,
BORORENEW,62,2024-01-09,508.6,2024-02-08,551.8,
EASEMYTRIP,697,2024-01-09,45.8,2024-02-08,52.45,
GATEWAY,289,2024-01-09,110.25,2024-02-08,114.0,
CENTUM,18,2024-02-08,1727.15,2024-02-09,1597.4,
GEECEE,100,2024-02-08,320.85,2024-02-09,301.65,
GICRE,76,2024-02-08,418.4322003774639,2024-02-09,384.18735242093146,
AMBICAAGAR,816,2024-02-08,39.45,2024-02-12,37.65,
ASAL,51,2024-02-08,622.65,2024-02-12,587.6,
BALAJITELE,250,2024-02-08,128.4,2024-02-13,121.2,
GRWRHITECH,16,2024-02-08,1906.5,2024-02-13,1806.85,
BALAXI,64,2024-02-08,497.7,2024-03-07,538.6,
CRISIL,7,2024-02-08,4368.725913443737,2024-03-07,4788.45748183094,
CUMMINSIND,12,2024-02-08,2515.774150787298,2024-03-07,2730.7971761362055,
AVANTIFEED,57,2024-03-07,556.2,2024-03-11,518.2,
BODALCHEM,332,2024-03-07,96.25,2024-03-11,89.2,
DBREALTY,113,2024-03-07,282.7,2024-03-11,267.35,
FINOPB,98,2024-03-07,325.65,2024-03-12,306.6,
FINPIPE,138,2024-03-07,231.3,2024-03-12,214.75,
ARE&M,37,2024-03-07,853.3778469348365,2024-03-13,768.7615584367829,
BAJAJ-AUTO,3,2024-03-07,8470.56199801527,2024-03-13,7999.145775410459,
CARTRADE,44,2024-03-07,719.65,2024-03-13,640.95,
GRAPHITE,52,2024-03-07,614.6742724066391,2024-03-13,575.8421025434671,
ARVEE,198,2023-12-08,158.5,2024-03-18,136.2,
BIL,84,2023-12-08,370.75,2024-03-18,267.55,
AAKASH,2466,2023-12-08,12.75,2024-04-01,9.7,
EMKAY,173,2024-04-10,176.9,2024-04-12,163.4,
GANGESSECU,203,2024-04-10,150.8,2024-04-12,144.1,
DATAPATTNS,10,2024-04-10,2998.0048468325194,2024-04-15,2828.363834298913,
GMDCLTD,78,2024-04-10,392.0646250028309,2024-04-15,372.03107892036917,
AARTISURF,45,2024-04-10,675.25,2024-04-23,635.95,
AEGISLOG,67,2024-04-10,456.2109653178097,2024-04-24,596.6943810273126,
FOODSIN,188,2024-04-10,162.7,2024-05-02,154.5,
3PLAND,1048,2024-01-09,30.45,2024-05-09,29.15,
ELDEHSG,31,2024-04-10,988.0,2024-05-14,1061.35,
GENUSPOWER,114,2024-04-10,268.6,2024-05-14,282.95,
GPIL,192,2024-04-10,159.83858868662728,2024-05-14,177.87562006201654,
AARTIPHARM,49,2024-05-14,618.05,2024-05-15,587.05,
DYCL,105,2024-05-14,292.0,2024-05-17,278.95,
APARINDS,3,2024-05-14,8255.32357761108,2024-05-21,7873.136353144835,
BASF,6,2024-05-14,4617.45,2024-05-22,4356.35,
DNAMEDIA,6677,2023-10-09,4.6,2024-05-27,4.3,
ALEMBICLTD,307,2024-05-14,100.35,2024-06-04,91.2,
BAJAJELEC,32,2024-05-14,948.8,2024-06-04,860.95,
DLINKINDIA,77,2024-05-14,399.45,2024-06-04,383.35,
DPABHUSHAN,24,2024-05-14,1277.2,2024-06-04,1181.7,
BEML,16,2024-05-14,1884.1328936722,2024-06-12,1961.0736873580515,
FINPIPE,102,2024-05-14,301.3,2024-06-12,339.25,
CHEMFAB,44,2024-06-12,688.1,2024-06-13,654.3,
BHANDARI,3353,2024-06-12,9.08,2024-06-14,8.61,
CREST,68,2024-06-12,442.05,2024-06-14,417.25,
EUROTEXIND,1599,2024-03-07,20.0,2024-06-18,14.04,
ACL,300,2024-06-12,101.19,2024-06-19,97.06,
DBOL,194,2024-06-12,156.75,2024-06-25,149.8,
DIGISPICE,871,2024-06-12,34.95,2024-07-01,46.16,
ELECON,45,2024-06-12,664.5760730976482,2024-07-08,320.37095215376763,
BSOFT,41,2024-07-12,717.8571829693947,2024-07-31,662.279245815896,
GRAVITA,22,2024-06-12,1328.4087986041873,2024-08-07,1759.9659954347483,
DTIL,119,2024-08-13,251.37,2024-08-14,232.15,
GROBTEA,28,2024-08-13,1046.95,2024-08-14,981.75,
BCLIND,494,2024-08-13,60.71,2024-08-21,58.12,
ASIANTILES,423,2024-06-12,71.82,2024-08-22,94.3,
GANGAFORGE,4526,2023-06-07,6.65,2024-08-23,8.83,
GOLDIAM,125,2024-08-13,240.05,2024-08-27,325.29,
CALSOFT,1590,2024-08-13,18.87,2024-09-06,25.25,
BALRAMCHIN,59,2024-08-13,504.6016974165437,2024-09-12,565.1361403897641,
DSSL,20,2024-08-13,1436.9,2024-09-12,1442.25,
ERIS,25,2024-08-13,1186.9060645499599,2024-09-12,1419.6288652571018,
EXCELINDUS,20,2024-08-13,1484.7,2024-09-12,1593.35,
ADL,213,2024-09-12,146.6,2024-09-13,131.94,
GOKULAGRO,203,2024-09-12,153.625,2024-09-13,146.1,
ADFFOODS,107,2024-09-12,290.15,2024-09-16,272.0,
FDC,51,2024-09-12,612.65,2024-09-16,579.5,
FCL,773,2024-09-12,40.45000000000001,2024-09-18,38.78000000000001,
ACEINTEG,846,2024-09-12,36.98,2024-09-20,35.05,
ADVENZYMES,58,2024-09-12,532.2,2024-09-27,503.0,
CHEMBOND,50,2024-06-12,607.566812462876,2024-10-07,553.4575571035153,
BAJAJ-AUTO,2,2024-09-12,11275.04738239273,2024-10-14,11444.122601382334,
BECTORFOOD,85,2024-09-12,364.75,2024-10-14,384.46000000000004,
CAMPUS,99,2024-09-12,315.1,2024-10-14,313.25,
DELTAMAGNT,287,2024-10-14,107.26,2024-10-15,100.9,
ASHOKAMET,962,2024-10-14,32.05,2024-10-16,30.12,
ASHOKA,119,2024-10-14,258.12,2024-10-18,247.06,
63MOONS,62,2024-10-14,494.1,2024-10-21,471.9,
APTUS,81,2024-10-14,378.0950159961536,2024-10-21,352.2353158131753,
ESABINDIA,4,2024-10-14,6463.0,2024-10-21,6184.75,
CREATIVEYE,4146,2024-10-14,7.44,2024-10-22,9.96,
FINPIPE,97,2024-10-14,316.05,2024-10-22,297.4,
GANECOS,13,2024-10-14,2277.15,2024-10-23,2130.25,
