ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank
DEVYANI,245,2025-01-15,193.29,2025-01-23,178.28,
ANANTRAJ,53,2025-01-15,894.173694828722,2025-01-24,809.026185770751,
CONCORDBIO,21,2025-01-15,2238.673934028189,2025-01-27,1968.1987593272534,
BSE,24,2025-01-15,1922.60292073907,2025-01-28,1713.5123766887657,
BIOCON,124,2025-01-15,381.08411856261614,2025-02-14,348.4667892156785,
ASHAPURMIN,107,2025-01-15,440.75,2025-02-17,393.4,
CUBEXTUB,402,2025-01-15,118.14,2025-03-25,84.98,
EICHERMOT,9,2025-01-15,5016.848706226569,2025-04-21,5736.122199871994,
AAVAS,20,2025-04-21,2166.3,2025-04-28,1991.5,
CHOLAFIN,27,2025-04-21,1657.8134724211861,2025-04-28,1523.9738499941232,
ARKADE,262,2025-04-21,171.77,2025-04-30,158.51,
DCM,413,2025-04-21,109.05,2025-04-30,99.32,
DIAMONDYD,36,2025-04-21,1250.1,2025-05-07,1144.9,
CHOLAHLDNG,23,2025-04-21,1957.1512422524765,2025-05-09,1716.816867086931,
FORCEMOT,4,2025-04-21,9279.014263685427,2025-05-30,12621.63459632118,
AIIL,123,2025-04-21,364.555113139026,2025-06-03,494.72,
BANARISUG,11,2025-04-21,3788.6,2025-07-18,3783.8,
CSBBANK,125,2025-04-21,360.25,2025-07-18,430.8,
BLUEJET,45,2025-07-18,1008.4259037026197,2025-07-22,904.5586345675399,
20MICRONS,172,2025-07-18,264.99,2025-07-28,239.47,
BOROSCI,253,2025-07-18,179.59,2025-07-28,162.19,
GMDCLTD,106,2025-07-18,427.27274055139674,2025-07-31,386.53803176921673,
DEVYANI,258,2025-07-18,176.16,2025-08-01,161.47,
GODREJAGRO,56,2025-07-18,800.75,2025-08-26,738.05,
DPABHUSHAN,28,2025-07-18,1620.3,2025-09-25,1498.6,
EVEREADY,116,2025-07-18,390.0,2025-10-14,355.2,
GARUDA,270,2025-07-18,168.68,2025-10-20,196.52,
BHAGYANGR,428,2025-07-18,106.41,2025-11-14,153.67,
CHENNPETRO,57,2025-10-20,769.7520484354277,2025-11-17,1067.3445301370537,
CEATLTD,10,2025-10-20,4203.9,2025-11-18,3885.6,
ACUTAAS,25,2025-10-20,1763.6,2025-12-15,1630.7,
ABDL,77,2025-10-20,575.9133375725299,2026-01-07,527.3339718623321,
APOLLOTYRE,88,2025-10-20,503.49273643640674,2026-01-22,500.36452712718653,
ASIANTILES,704,2025-10-20,63.25,2026-01-22,73.07,
AUBANK,51,2025-10-20,865.2,2026-01-22,1000.55,
CANFINHOME,54,2025-10-20,824.4529159067096,2026-01-22,904.228045325779,
ECLERX,20,2025-10-20,2157.2,2026-01-22,2173.95,
DAVANGERE,10003,2026-01-22,4.67,2026-01-30,4.29,
ATALREAL,1697,2026-01-22,27.52,2026-02-20,25.16,
BAJAJCON,157,2026-01-22,296.9,2026-02-24,402.2,
EQUITASBNK,666,2026-01-22,70.1,2026-02-27,64.37,
DCBBANK,247,2026-01-22,188.79,2026-03-04,173.42,
DABUR,88,2026-01-22,525.35,2026-03-06,478.6,
BANKINDIA,289,2026-01-22,161.155693877551,2026-03-09,146.50429591836732,
ALKEM,8,2026-01-22,5712.449135205505,2026-03-19,5240.0,
APLAPOLLO,23,2026-01-22,1976.0,2026-04-28,1976.0,
FEDERALBNK,196,2025-10-20,227.08,2026-04-28,290.6,
ASIANTILES,601,2026-04-28,76.97,2026-04-29,63.89,
BBOX,72,2026-04-28,639.85,2026-05-15,878.75,
CHENNPETRO,43,2026-04-28,1072.3,2026-05-18,987.9,
GPIL,151,2026-04-28,305.0,2026-05-27,281.8,
GLENMARK,19,2026-04-28,2403.7,2026-06-01,2201.2,
