ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank
ATALREAL,1546,2026-01-22,27.52,2026-02-20,25.16,
BAJAJCON,143,2026-01-22,296.9,2026-02-24,402.2,
ARMANFIN,26,2026-01-22,1630.6,2026-03-04,1476.4,
DABUR,81,2026-01-22,525.35,2026-03-06,478.6,
BANKINDIA,264,2026-01-22,161.155693877551,2026-03-09,146.50429591836732,
COLPAL,19,2026-01-22,2154.2053691926794,2026-03-12,1952.7798533909413,
ALKEM,7,2026-01-22,5712.449135205505,2026-03-19,5240.0,
APLAPOLLO,21,2026-01-22,1976.0,2026-04-28,1976.0,
FEDERALBNK,182,2025-10-20,227.08,2026-04-28,290.6,
AGI,62,2026-04-28,672.55,2026-05-05,621.0,
COHANCE,85,2026-04-28,493.3,2026-05-05,454.15,
ELECTHERM,48,2026-04-28,863.6,2026-05-05,790.65,
EPACK,144,2026-04-28,291.03,2026-05-08,263.5,
EMIL,342,2026-04-28,122.75,2026-05-12,113.53,
GREENPOWER,3308,2026-04-28,12.72,2026-05-12,11.29,
FABTECH,243,2026-04-28,172.66,2026-05-13,158.36,
DAMODARIND,1361,2026-04-28,30.91,2026-05-14,28.59,
BBOX,65,2026-04-28,639.85,2026-05-15,878.75,
