ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank
CHOLAHLDNG,21,2025-04-21,1957.1512422524765,2025-05-09,1716.816867086931,
FUSION,259,2025-04-21,165.47,2025-05-09,152.73,
FORCEMOT,4,2025-04-21,9279.014263685427,2025-05-30,12621.63459632118,
FACT,55,2025-04-21,774.4444714090703,2025-06-03,1046.3871864098285,
GLFL,7212,2024-01-09,5.9,2025-06-10,4.43,
DCXINDIA,156,2025-04-21,273.84,2025-07-18,272.1,
DEVYANI,249,2025-04-21,172.12,2025-07-18,176.16,
20MICRONS,160,2025-07-18,264.99,2025-07-28,239.47,
BOROSCI,236,2025-07-18,179.59,2025-07-28,162.19,
EIEL,148,2025-07-18,285.37,2025-07-29,257.65,
GMDCLTD,99,2025-07-18,427.27274055139674,2025-07-31,386.53803176921673,
DENTA,123,2025-07-18,344.65,2025-08-01,309.95,
CUPID,289,2025-07-18,146.77,2025-09-10,202.68,
DYNPRO,119,2025-07-18,355.4,2025-10-08,320.8,
EVEREADY,108,2025-07-18,390.0,2025-10-14,355.2,
GARUDA,251,2025-07-18,168.68,2025-10-20,196.52,
GSLSU,387,2025-10-20,108.92,2025-10-28,100.06,
AARTECH,712,2025-10-20,59.16,2025-11-04,54.51,
BHAGYANGR,398,2025-07-18,106.41,2025-11-14,153.67,
CEATLTD,10,2025-10-20,4203.9,2025-11-18,3885.6,
ACUTAAS,23,2025-10-20,1763.6,2025-12-15,1630.7,
BHARATRAS,16,2025-10-20,2531.125,2025-12-17,2314.0,
ABDL,73,2025-10-20,575.9133375725299,2026-01-07,527.3339718623321,
AUBANK,48,2025-10-20,865.2,2026-01-22,1000.55,
CANFINHOME,51,2025-10-20,824.4529159067096,2026-01-22,904.228045325779,
CENTRALBK,1118,2025-10-20,37.72657790771125,2026-01-22,36.403866809881855,
BANKINDIA,265,2026-01-22,161.155693877551,2026-03-09,146.50429591836732,
COLPAL,19,2026-01-22,2154.2053691926794,2026-03-12,1952.7798533909413,
APLAPOLLO,21,2026-01-22,1976.0,2026-04-28,1976.0,
FEDERALBNK,185,2025-10-20,227.08,2026-04-28,290.6,
AGI,63,2026-04-28,672.55,2026-05-05,621.0,
COHANCE,86,2026-04-28,493.3,2026-05-05,454.15,
ELECTHERM,49,2026-04-28,863.6,2026-05-05,790.65,
CUB,205,2026-04-28,206.73749999999998,2026-05-11,190.64999999999998,
EMIL,346,2026-04-28,122.75,2026-05-12,113.53,
DAMODARIND,1376,2026-04-28,30.91,2026-05-14,28.59,
BBOX,66,2026-04-28,639.85,2026-05-15,878.75,
AMAGI,106,2026-04-28,400.65,2026-06-29,554.45,
