signal_date,ticker,entry_date,entry_price,exit_date,exit_price,shares,gross_return_pct,net_return_pct,pnl_inr,buy_prob,meta_prob
2007-01-24,BLKASHYAP,2007-01-25,1479.0,2007-02-05,1398.5,676,-5.443,-5.943,-59418.0,0.7717,0.6099
2007-01-24,PARACABLES,2007-01-25,56.9,2007-02-05,52.2,17574,-8.26,-8.76,-87597.8,0.696,0.5245
2007-01-24,NIFTYBEES,2007-01-25,412.99,2007-02-05,422.16,2421,2.22,1.72,17200.57,0.6293,0.8526
2007-01-24,BHARATFORG,2007-01-25,158.07,2007-02-05,159.63,6326,0.987,0.487,4872.35,0.5439,0.6749
2007-01-24,FMGOETZE,2007-01-25,396.0,2007-02-05,361.9,2525,-8.611,-9.111,-91102.5,0.5359,0.6031
2007-01-24,VIMTALABS,2007-01-25,161.5,2007-02-05,156.25,6191,-3.251,-3.751,-37502.75,0.4048,0.5253
2007-01-25,INDHOTEL,2007-01-29,151.49,2007-02-06,146.84,6601,-3.07,-3.57,-35695.52,0.8925,0.5477
2007-01-25,BLKASHYAP,2007-01-29,1450.0,2007-02-06,1365.8,689,-5.807,-6.307,-63013.8,0.7949,0.7254
2007-01-25,HINDZINC,2007-01-29,55.73,2007-02-06,47.98,17942,-13.918,-14.418,-144183.23,0.7651,0.5808
2007-01-25,NIFTYBEES,2007-01-29,415.0,2007-02-06,423.0,2409,1.928,1.428,14272.0,0.7582,0.801
2007-01-25,RAMCOIND,2007-01-29,1081.0,2007-02-06,1024.4,925,-5.236,-5.736,-57355.0,0.598,0.5843
2007-01-25,PRAENG,2007-01-29,299.9,2007-02-06,273.5,3334,-8.803,-9.303,-93017.6,0.5252,0.5981
2007-01-25,FMGOETZE,2007-01-29,450.0,2007-02-06,369.85,2222,-17.811,-18.311,-183093.3,0.4818,0.743
2007-01-25,HCC,2007-01-29,143.1,2007-02-06,143.7,6988,0.419,-0.081,-807.2,0.4742,0.774
2007-01-29,FMGOETZE,2007-01-31,386.0,2007-02-07,369.65,2590,-4.236,-4.736,-47346.5,0.9118,0.6404
2007-01-29,PRECWIRE,2007-01-31,166.0,2007-02-07,160.6,6024,-3.253,-3.753,-37529.6,0.6892,0.6969
2007-01-29,PRAENG,2007-01-31,300.0,2007-02-07,285.85,3333,-4.717,-5.217,-52161.95,0.6517,0.8032
2007-01-29,NIFTYBEES,2007-01-31,413.05,2007-02-07,423.26,2421,2.472,1.972,19718.41,0.5136,0.7051
2007-01-29,VSTIND,2007-01-31,368.95,2007-02-07,378.15,2710,2.494,1.994,19932.0,0.4473,0.5429
2007-01-29,ANANTRAJ,2007-01-31,1320.41,2007-02-07,1363.36,757,3.253,2.753,27511.87,0.3588,0.5008
2007-01-31,FMGOETZE,2007-02-01,380.0,2007-02-08,359.85,2631,-5.303,-5.803,-58014.65,0.8546,0.5675
2007-01-31,JBMA,2007-02-01,60.48,2007-02-08,59.23,16535,-2.06,-2.56,-25595.79,0.8437,0.517
2007-02-01,ABB,2007-02-02,3772.08,2007-02-09,3784.4,265,0.327,-0.173,-1735.85,0.8329,0.5009
2007-02-01,JBMA,2007-02-02,64.25,2007-02-09,59.13,15565,-7.959,-8.459,-84591.06,0.6953,0.5487
2007-02-01,VENKEYS,2007-02-02,109.8,2007-02-09,106.0,9107,-3.461,-3.961,-39606.6,0.6175,0.5782
2007-02-01,FMGOETZE,2007-02-02,379.0,2007-02-09,352.2,2638,-7.071,-7.571,-75698.4,0.607,0.5243
2007-02-01,NIFTYBEES,2007-02-02,415.0,2007-02-09,421.02,2409,1.451,0.951,9502.18,0.5191,0.5746
2007-02-02,JUNIORBEES,2007-02-05,75.8,2007-02-12,72.6,13192,-4.222,-4.722,-47214.4,0.8576,0.5137
2007-02-02,PARACABLES,2007-02-05,53.9,2007-02-12,47.75,18552,-11.41,-11.91,-119094.8,0.8266,0.9501
2007-02-02,NIPPOBATRY,2007-02-05,342.0,2007-02-12,339.35,2923,-0.775,-1.275,-12745.95,0.3828,0.6989
2007-02-05,PARACABLES,2007-02-06,52.8,2007-02-13,46.4,18939,-12.121,-12.621,-126209.6,0.8775,0.903
2007-02-05,JUNIORBEES,2007-02-06,75.8,2007-02-13,71.2,13192,-6.069,-6.569,-65683.2,0.8045,0.6477
2007-02-06,WEIZMANIND,2007-02-07,24.1,2007-02-14,24.8,41493,2.905,2.405,24045.1,0.5808,0.6181
2007-02-06,KAJARIACER,2007-02-07,21.39,2007-02-14,18.7,46753,-12.584,-13.084,-130832.97,0.5215,0.5578
2007-02-07,PARACABLES,2007-02-08,50.5,2007-02-15,49.5,19801,-1.98,-2.48,-24801.0,0.6805,0.8157
2007-02-07,NIPPOBATRY,2007-02-08,335.85,2007-02-19,337.0,2977,0.342,-0.158,-1576.45,0.641,0.6275
2007-02-07,SUPERSPIN,2007-02-08,27.1,2007-02-15,24.45,36900,-9.779,-10.279,-102785.0,0.5407,0.6583
2007-02-07,TANLA,2007-02-08,384.0,2007-02-15,343.6,2604,-10.521,-11.021,-110201.6,0.5214,0.5067
2007-02-07,BLKASHYAP,2007-02-08,1489.5,2007-02-15,1277.55,671,-14.23,-14.73,-147218.45,0.5213,0.7571
2007-02-08,BLUEDART,2007-02-09,501.52,2007-02-19,489.26,1993,-2.445,-2.945,-29438.34,0.7451,0.5993
2007-02-08,MANUGRAPH,2007-02-09,204.0,2007-02-19,208.55,4901,2.23,1.73,17299.55,0.7383,0.6955
2007-02-08,NIFTYBEES,2007-02-09,423.0,2007-02-19,419.97,2364,-0.716,-1.216,-12162.92,0.6228,0.626
2007-02-08,JBMA,2007-02-09,59.13,2007-02-22,60.21,16911,1.829,1.329,13292.53,0.5932,0.6117
2007-02-08,JUNIORBEES,2007-02-09,75.7,2007-02-19,74.5,13210,-1.585,-2.085,-20852.0,0.5595,0.6238
2007-02-08,SUPERSPIN,2007-02-09,26.2,2007-02-19,23.15,38167,-11.641,-12.141,-121409.35,0.4386,0.6407
2007-02-08,INDHOTEL,2007-02-09,150.53,2007-02-19,145.98,6643,-3.025,-3.525,-35253.9,0.4315,0.583
2007-02-09,BLKASHYAP,2007-02-12,1398.0,2007-02-20,1272.95,715,-8.945,-9.445,-94410.75,0.6419,0.7785
2007-02-09,JBMA,2007-02-12,58.94,2007-02-23,54.77,16967,-7.063,-7.563,-75631.65,0.4965,0.7481
2007-02-12,SHAHALLOYS,2007-02-13,123.0,2007-02-21,142.05,8130,15.488,14.988,149876.5,0.8657,0.6503
